ID,Text,Comment
Cadre.Group.AquaPiles.DisplayName,Onderwater stapels,
Cadre.Group.AquaTanks.DisplayName,Onderwater vaten,
Cadre.Group.AquaWarehouses.DisplayName,Onderwater pakhuizen,
Cadre.LogLadder.DisplayName,Boomstam Ladder,
Cadre.LogLadder.Description,Boomstam waar de bevers aan hebben geknaagd om klimbaar te maken,
Cadre.LogLadder.FlavourDescription,Natuurlijk hebben ze het daarna in de rivier gewassen,
Cadre.AquaSmallPile.DisplayName,Kleine onderwater Stapel,
Cadre.AquaSmallPile.Description,Kleine Stapel die onderwater geplaatst kan worden,
Cadre.AquaSmallPile.FlavourDescription,Resultaat van het vredesverdrag tussen de Folktails en de Ijzertanden,
Cadre.AquaMediumPile.DisplayName,Medium onderwater Stapel,
Cadre.AquaMediumPile.Description,Medium Stapel die onderwater geplaatst kan worden,
Cadre.AquaMediumPile.FlavourDescription,Resultaat van het vredesverdrag tussen de Folktails en de Ijzertanden,
Cadre.AquaBuriedPile.DisplayName,Ondergrondse onderwater Stapel,
Cadre.AquaBuriedPile.Description,Ondergrondse Stapel die onderwater geplaatst kan worden,
Cadre.AquaBuriedPile.FlavourDescription,Resultaat van het vredesverdrag tussen de Folktails en de Ijzertanden,
Cadre.AquaSmallTank.DisplayName,Klein onderwater Vat,
Cadre.AquaSmallTank.Description,Klein Vat dat onderwater geplaatst kan worden,
Cadre.AquaSmallTank.FlavourDescription,Resultaat van het vredesverdrag tussen de Folktails en de Ijzertanden,
Cadre.AquaMediumTank.DisplayName,Medium onderwater Vat,
Cadre.AquaMediumTank.Description,Medium Vat dat onderwater geplaatst kan worden,
Cadre.AquaMediumTank.FlavourDescription,Resultaat van het vredesverdrag tussen de Folktails en de Ijzertanden,
Cadre.AquaLargeTank.DisplayName,Groot onderwater Vat,
Cadre.AquaLargeTank.Description,Groot Vat dat onderwater geplaatst kan worden,
Cadre.AquaLargeTank.FlavourDescription,Resultaat van het vredesverdrag tussen de Folktails en de Ijzertanden,
Cadre.AquaSmallWarehouse.DisplayName,Klein onderwater Pakhuis,
Cadre.AquaSmallWarehouse.Description,Klein Pakhuis dat onderwater geplaatst kan worden,
Cadre.AquaSmallWarehouse.FlavourDescription,Resultaat van het vredesverdrag tussen de Folktails en de Ijzertanden,
Cadre.AquaMediumWarehouse.DisplayName,Medium onderwater Pakhuis,
Cadre.AquaMediumWarehouse.Description,Medium Pakhuis dat onderwater geplaatst kan worden,
Cadre.AquaMediumWarehouse.FlavourDescription,Resultaat van het vredesverdrag tussen de Folktails en de Ijzertanden,
Cadre.AquaLargeWarehouse.DisplayName,Groot onderwater Pakhuis,
Cadre.AquaLargeWarehouse.Description,Groot Pakhuis dat onderwater geplaatst kan worden,
Cadre.AquaLargeWarehouse.FlavourDescription,Resultaat van het vredesverdrag tussen de Folktails en de Ijzertanden,
Cadre.AquaNumberCruncher.DisplayName,Onderwater supercomputer (NIET BOUWEN - SPEL CRASHT),
Cadre.AquaNumberCruncher.Description,Supercomputer die beter onderwater werkt,
Cadre.AquaNumberCruncher.FlavourDescription,Resultaat van het vredesverdrag tussen de Folktails en de Ijzertanden,
Cadre.AquaWaterWheel.DisplayName,Onderwater Water Wiel (NIET BOUWEN – SPEL CRASHT),
Cadre.AquaWaterWheel.Description,Water Wiel dat onderwater geplaatst kan worden,
Cadre.AquaWaterWheel.FlavourDescription,Resultaat van het vredesverdrag tussen de Folktails en de Ijzertanden,
Cadre.AquaCompactWaterWheel.DisplayName,Onderwater compact Water Wiel (NIET BOUWEN – SPEL CRASHT),
Cadre.AquaCompactWaterWheel.Description,Compact Water Wiel dat onderwater geplaatst kan worden,
Cadre.AquaCompactWaterWheel.FlavourDescription,Resultaat van het vredesverdrag tussen de Folktails en de Ijzertanden,
