ID,Text,Comment
Battery.PowerShaftExtensions.ToolGroups.ShaftBridges.DisplayName,Krachtas Bruggen,-
Battery.PowerShaftExtensions.ToolGroups.ShaftTunnels.DisplayName,Krachtas Tunnels,-
Battery.PowerShaftExtensions.PowerShaftBridgex3.DisplayName,Krachtas Brug (1-overspanning),-
Battery.PowerShaftExtensions.PowerShaftBridgex3.Description,Een krachtas brug die een kloof van 1 blok overspant,-
Battery.PowerShaftExtensions.PowerShaftBridgex4.DisplayName,Krachtas Brug (2-overspanningen),-
Battery.PowerShaftExtensions.PowerShaftBridgex4.Description,Een krachtas brug die een afstand van 2 blokken overbrugt,-
Battery.PowerShaftExtensions.PowerShaftBridgex5.DisplayName,Krachtas Brug (3-overspanningen),-
Battery.PowerShaftExtensions.PowerShaftBridgex5.Description,Een krachtas brug die een kloof van 3 blokken overspant,-
Battery.PowerShaftExtensions.PowerShaftBridgex6.DisplayName,Krachtas Brug (4-overspanningen),-
Battery.PowerShaftExtensions.PowerShaftBridgex6.Description,Een krachtas brug die een kloof van 4 blokken overspant,-
Battery.PowerShaftExtensions.PowerShaftBridgex7.DisplayName,Krachtas Brug (5-overspanningen),-
Battery.PowerShaftExtensions.PowerShaftBridgex7.Description,Een krachtas brug die een afstand van 5 blokken overspant,-
Battery.PowerShaftExtensions.PowerShaftBridgex8.DisplayName,Krachtas Brug (6-overspanningen),-
Battery.PowerShaftExtensions.PowerShaftBridgex8.Description,Een krachtas brug die een afstand van 6 blokken overspant,-
Battery.PowerShaftExtensions.PowerShaftBridgex9.DisplayName,Krachtas Brug (7-overspanningen),-
Battery.PowerShaftExtensions.PowerShaftBridgex9.Description,Een krachtas brug die een kloof van 7 blokken overspant,-
Battery.PowerShaftExtensions.PowerShaftBridgex10.DisplayName,Krachtas Brug (8-overspanningen),-
Battery.PowerShaftExtensions.PowerShaftBridgex10.Description,Een krachtas brug die een kloof van 8 blokken overspant,-
Battery.PowerShaftExtensions.PowerShaftBridgex11.DisplayName,Krachtas Brug (9-overspanningen),-
Battery.PowerShaftExtensions.PowerShaftBridgex11.Description,Een krachtas brug die een afstand van 9 blokken overspant,-
Battery.PowerShaftExtensions.PowerShaftBridgex12.DisplayName,Krachtas Brug (10-overspanningen),-
Battery.PowerShaftExtensions.PowerShaftBridgex12.Description,Een krachtas brug die een afstand van 10 blokken overspant,-
Battery.PowerShaftExtensions.PowerShaftTunnelx3.DisplayName,Krachtas Tunnel (1-lang),-
Battery.PowerShaftExtensions.PowerShaftTunnelx3.Description,Een diepe tunnel van een krachtschacht die onder de grond graaft. Strekt zich uit over 1 blok.,-
Battery.PowerShaftExtensions.PowerShaftTunnelx4.DisplayName,Krachtas Tunnel (2-lang),-
Battery.PowerShaftExtensions.PowerShaftTunnelx4.Description,Een diepe tunnel van een krachtschacht die onder de grond graaft. Strekt zich uit over 2 blokken.,-
Battery.PowerShaftExtensions.PowerShaftTunnelx5.DisplayName,Krachtas Tunnel (3-lang),-
Battery.PowerShaftExtensions.PowerShaftTunnelx5.Description,Een diepe tunnel van een krachtschacht die onder de grond graaft. Strekt zich uit over 3 blokken.,-
Battery.PowerShaftExtensions.PowerShaftTunnelx6.DisplayName,Krachtas Tunnel (4-lang),-
Battery.PowerShaftExtensions.PowerShaftTunnelx6.Description,Een diepe tunnel van een krachtschacht die onder de grond graaft. Strekt zich uit over 4 blokken.,-
Battery.PowerShaftExtensions.PowerShaftTunnelx7.DisplayName,Krachtas Tunnel (5-lang),-
Battery.PowerShaftExtensions.PowerShaftTunnelx7.Description,Een diepe tunnel van een krachtschacht die onder de grond graaft. Strekt zich uit over 5 blokken.,-
Battery.PowerShaftExtensions.PowerShaftTunnelx8.DisplayName,Krachtas Tunnel (6-lang),-
Battery.PowerShaftExtensions.PowerShaftTunnelx8.Description,Een diepe tunnel van een krachtschacht die onder de grond graaft. Strekt zich uit over 6 blokken.,-
Battery.PowerShaftExtensions.PowerShaftTunnelx9.DisplayName,Krachtas Tunnel (7-lang),-
Battery.PowerShaftExtensions.PowerShaftTunnelx9.Description,Een diepe tunnel van een krachtschacht die onder de grond graaft. Strekt zich uit over 7 blokken.,-
Battery.PowerShaftExtensions.PowerShaftTunnelx10.DisplayName,Krachtas Tunnel (8-lang),-
Battery.PowerShaftExtensions.PowerShaftTunnelx10.Description,Een diepe tunnel van een krachtschacht die onder de grond graaft. Strekt zich uit over 8 blokken.,-
Battery.PowerShaftExtensions.PowerShaftTunnelx11.DisplayName,Krachtas Tunnel (9-lang),-
Battery.PowerShaftExtensions.PowerShaftTunnelx11.Description,Een diepe tunnel van een krachtschacht die onder de grond graaft. Strekt zich uit over 9 blokken.,-
Battery.PowerShaftExtensions.PowerShaftTunnelx12.DisplayName,Krachtas Tunnel (10-lang),-
Battery.PowerShaftExtensions.PowerShaftTunnelx12.Description,Een diepe tunnel van een krachtschacht die onder de grond graaft. Strekt zich uit over 10 blokken.,-
