ID,Text,Comment
Floodgate.Triggers.EnableOnDroughtStarted,Hoogte begin droogte,
Floodgate.Triggers.EnableOnDroughtEnded,Hoogte eind droogte,
Floodgate.Schedule.Enable,Hoogte op schema instellen,
Floodgate.Schedule.DisableOnDrought,Schema tijdens droogte pauzeren,
Floodgate.Schedule.DisableOnTemperate,Schema tijdens gematigd weer pauzeren,
Floodgate.Triggers.Time,Tijd,
Floodgate.Triggers.Height,Hoogte,
Floodgate.Triggers.Basic,Basic,
Floodgate.Triggers.Timer,Timer,
Floodgate.Triggers.Advanced,Geavanceerd,
Floodgate.Triggers.AttachToStreamGauge,Watermeter verbinden,
Floodgate.Triggers.PickStreamGaugeTitle,Kies een watermeter,
Floodgate.Triggers.PickStreamGaugeTip,"Serieus, kies er een.",
Floodgates.Triggers.NoLinks,Geen watermeter verbonden,
Floodgates.Triggers.NoFloodgateLinks,Geen verbonden objecten,
Floodgates.Triggers.LinkedFloodgates,Verbonden objecten,
Floodgates.Triggers.Threshold1,Watermeter lage waterpeil,
Floodgates.Triggers.Threshold2,Watermeter hoge waterpeil,
Floodgates.Triggers.HeightWhenBelowThreshold1,Sluis bij laag waterpeil,
Floodgates.Triggers.HeightWhenAboveThreshold2,Sluis bij hoog waterpeil,
Floodgate.Triggers.PauseOnDroughtStart,Pauzeer begin droogte,
Floodgate.Triggers.UnpauseOnDroughtStart,Hervat begin droogte,
Floodgate.Triggers.UnpauseOnTemperateStart,Hervat begin gematigd weer,
Floodgate.Triggers.PauseOnTemperateStart,Pauzeer begin gematigd weer,
Floodgates.WaterpumpTrigger.Threshold1,Pauzeer <,
Floodgates.WaterpumpTrigger.Threshold2,Pauzeer >,
Floodgates.WaterpumpTrigger.Threshold3,Hervat <,
Floodgates.WaterpumpTrigger.Threshold4,Hervat >,
Floodgates.WaterpumpTrigger.PauseStartTime,Pauzeren bij,
Floodgates.WaterpumpTrigger.ResumeStartTime,Hervatten bij,
Floodgates.WaterpumpTrigger.DisableDuringDrought,Tijdens droogte uitzetten,
Floodgates.WaterpumpTrigger.DisableDuringTemperate,Tijdens gematigd weer uitzetten,
Floodgate.Triggers.PauseOnSchedule,Pauzeer op een schema,
Floodgate.Triggers.EnableOnBadtideStarted,Hoogte begin slechtwatervloed,
Floodgate.Triggers.EnableOnBadtideEnded,Hoogte eind slechtwatervloed,
Floodgate.Schedule.DisableOnBadtide,Tijdens slechtwatervloed schema uitzetten,
Floodgates.WaterpumpTrigger.DisableDuringBadtide,Tijdens slechtwatervloed uitzetten,
Floodgate.Triggers.PauseOnBadtideStart,Pauzeer begin slechtwatervloed,
Floodgate.Triggers.UnpauseOnBadtideStart,Hervat begin slechtwatervloed,
Floodgates.Triggers.ContaminationThresholdLow,Lage verontreinigingsdrempel,
Floodgates.Triggers.ContaminationThresholdHigh,Hoge verontreinigingsdrempel,
Floodgates.Triggers.HeightWhenBelowContaminationThresholdLow,Hoogte bij lage verontreiniging,
Floodgates.Triggers.HeightWhenAboveContaminationThresholdHigh,Hoogte bij hoge verontreiniging,
Floodgates.Triggers.Depth,Diepte,
Floodgates.Triggers.Contamination,Verontreiniging,
Floodgates.WaterSourceRegulator.Threshold1,Close <,
Floodgates.WaterSourceRegulator.Threshold2,Close >,
Floodgates.WaterSourceRegulator.Threshold3,Open <,
Floodgates.WaterSourceRegulator.Threshold4,Open >,
Floodgates.WaterSourceRegulator.CloseStartTime,Close at,
Floodgates.WaterSourceRegulator.OpenStartTime,Open at,
Floodgates.WaterSourceRegulator.DisableDuringDrought,Tijdens droogte uitzetten,
Floodgates.WaterSourceRegulator.DisableDuringTemperate,Tijdens gematigd weer uitzetten,
Floodgate.WaterSourceRegulator.CloseOnDroughtStart,Sluiten als droogte begint,
Floodgate.WaterSourceRegulator.OpenOnDroughtStart,Open begin droogte,
Floodgate.WaterSourceRegulator.OpenOnTemperateStart,Open begin gematigd weer,
Floodgate.WaterSourceRegulator.CloseOnTemperateStart,Sluit begin gematigd weer,
Floodgate.WaterSourceRegulator.OpenOnBadtideStart,Open begin slechtwatervloed,
Floodgate.WaterSourceRegulator.CloseOnBadtideStart,Sluit begin slechtwatervloed,
Floodgate.Schedule.CloseOnSchedule,Openen/sluiten op een schema,
Floodgates.WaterSourceRegulator.DisableDuringTemperate,Tijdens gematigd weer uitzetten,
Floodgates.WaterSourceRegulator.DisableDuringBadtide,Tijdens slechtwatervloed uitzetten,
Floodgates.Triggers.Empty,,
