ID,Text,Comment
Knatte.WaterAlarm.DisplayName,Wateralarm,-
Knatte.WaterAlarm.Description,Een gecombineerd watermeter en wateralarm dat een waarschuwing geeft als het geen water heeft.,-
Knatte.WaterAlarm.FlavorDescription,Kling Kling,
//,//,
Knatte.WaterAlarm11.DisplayName,Stroommeter 11 Hoog,-
Knatte.WaterAlarm11.Description,Een grote Watermeter,-
Knatte.WaterAlarm11.FlavorDescription,Mario Jump,
//,//,
Knatte.MetalFloodgate.DisplayName,Metalen sluisdeur,-
Knatte.MetalFloodgate.Description,Grotere beter sluisdeur waar dingen bovenop gebouwd kunnen worden,-
//,//,
Knatte.Floodgate.DisplayName,Metalen sluisdeuren,-
//,//,
Knatte.MetalFloodgate2.DisplayName,Metalen sluisdeur 2 Hoog,-
Knatte.MetalFloodgate3.DisplayName,Metalen sluisdeur 3 Hoog,-
Knatte.MetalFloodgate4.DisplayName,Metalen sluisdeur 4 Hoog,-
Knatte.MetalFloodgate5.DisplayName,Metalen sluisdeur 5 Hoog,-
Knatte.MetalFloodgate6.DisplayName,Metalen sluisdeur 6 Hoog,-
Knatte.MetalFloodgate7.DisplayName,Metalen sluisdeur 7 Hoog,-
Knatte.MetalFloodgate8.DisplayName,Metalen sluisdeur 8 Hoog,-
Knatte.MetalFloodgate9.DisplayName,Metalen sluisdeur 9 Hoog,-
Knatte.MetalFloodgate10.DisplayName,MMetalen sluisdeur 10 Hoog,-
