ID,Text,Comment
Knatte.Subgroup_MGShafts.DisplayName,Krachtassen,
Knatte.Subgroup_MGPower.DisplayName,Stroomgeneratoren,
Knatte.Subgroup_MGPiles.DisplayName,Stapels,
Knatte.Subgroup_MGWarehouses.DisplayName,Pakhuizen,
Knatte.Subgroup_MGTanks.DisplayName,Vaten,
Knatte.Subgroup_MGStaircase.DisplayName,Trappen,
Knatte.Subgroup_MGPlatforms.DisplayName,Platformen,
Knatte.Subgroup_MGMetalPlatform.DisplayName,Metalen platforms,
Knatte.Subgroup_MGBridges.DisplayName,Hangbruggen,
Knatte.Subgroup_MGAqueduct.DisplayName,Aquaducten,
Knatte.Subgroup_MGFloodgates.DisplayName,Sluisdeuren,
Knatte.Subgroup_MGAqueduct_Floors.DisplayName,Aquaductvloeren,
Knatte.Subgroup_MGDynamite.DisplayName,Dynamieten,
Knatte.Subgroup_MGRoofs.DisplayName,Daken,
Knatte.Subgroup_MGOverhangs.DisplayName,Overhangen,
Knatte.Subgroup_MGBigMetalPillar.DisplayName,Grote metalen pilaren,
Knatte.Subgroup_MGMetalOverhang.DisplayName,Extra metalen overhangen,
Knatte.Subgroup_MGPipe.DisplayName,Buizen,
