ID,Text,Comment
Knatte.Corner.DisplayName,Decoratieve Hoek,-
Knatte.Corner.Description,Laat de dam een hoek hebben.,-
Knatte.Corner.FlavorDescription,Blokkeert geen water,-
//,//,
Knatte.SQCorner.DisplayName,Decoratieve Vierkante Hoek,-
Knatte.SQCorner.Description,Laat de dam een hoek hebben.,-
Knatte.SQCorner.FlavorDescription,Blokkeert geen water,-
//,//,
Knatte.Diagonal.DisplayName,Decoratieve Diagonaal,-
Knatte.Diagonal.Description,Laat de dam naar de zijkant gaan.,-
Knatte.Diagonal.FlavorDescription,Blokkeert geen water,-
//,//,
Knatte.DiagonalS.DisplayName,Decoratieve diagonaal zijplatform,-
Knatte.DiagonalS.Description,Laat de dam naar de zijkant gaan en een platform hebben.,-
Knatte.DiagonalS.FlavorDescription,Blokkeerd geen water,-
//,//,
Knatte.DiagonalW.DisplayName,Dijk Diagonaal,-
Knatte.DiagonalW.Description,Laat de dam naar de zijkant gaan.,-
Knatte.DiagonalW.FlavorDescription,Water zal er niet voorbij komen,-
//,//,
Knatte.InvCorner.DisplayName,Decoratieve inverse hoek,-
Knatte.InvCorner.Description,Laat de dam een hoek hebben.,-
Knatte.InvCorner.FlavorDescription,Blokkeerd geen water,-
//,//,
Knatte.InvCornerW.DisplayName,Dijk inverse hoek,-
Knatte.InvCornerW.Description,Laat de dam een hoek hebben.,-
Knatte.InvCornerW.FlavorDescription,Water zal er niet voorbij komen,-
//,//,
Knatte.Slope.DisplayName,Decoratieve Helling,-
Knatte.Slope.Description,Laat de dam een helling hebben.,-
Knatte.Slope.FlavorDescription,Blokkeerd geen water,-
//,//,
Knatte.CornerSlope.DisplayName,Decoratieve helling hoek,-
Knatte.CornerSlope.Description,Laat de dam een hoek hebben.,-
Knatte.CornerSlope.FlavorDescription,Blokkeerd geen water,-
//,//,
Knatte.Square.DisplayName,Decoratieve vierkant,
Knatte.Square.Description,Dam the Square,
Knatte.Square.FlavorDescription,Blokkeerd geen water,-
//,//,
Knatte.Square2W.DisplayName,Dijk 2x2,
Knatte.Square3W.DisplayName,Dijk 3x3,
Knatte.SquareW.Description,Laat de dam groot zijn,
Knatte.SquareW.FlavorDescription,Water zal er niet voorbij komen,-
//,//,
Knatte.SquareW1x2.DisplayName,Dijk 1x2,
Knatte.SquareW1x3.DisplayName,Dijk 1x3,
Knatte.SquareW2x1.DisplayName,Dijk 2x1,
Knatte.SquareW2x3.DisplayName,Dijk 2x3,
