ID,Text,Comment
MapMakerPlants.GiantSequoia.DisplayName,3x3 Reuzensequoia,-
MapMakerPlants.2X2treePlaceholder1.DisplayName,2x2 ??? boom,-
MapMakerPlants.Brambles.DisplayName,Bramen,-
MapMakerPlants.NewVineV.DisplayName,Wijnstokken (verticaal),-
MapMakerPlants.NewVineH.DisplayName,Wijnstokken (horizontaal),-
MapMakerPlants.Waterbamboo.DisplayName,2x2 W.bamboe,-
MapMakerPlants.Baobab.DisplayName,5x5 Baobab,-
MapMakerPlants.LemonTree.DisplayName,Citroenboom,-
MapMakerPlants.PinkBirch.DisplayName,Eeuwigdurende bloesem,-
MapMakerPlants.RuinedPath.DisplayName,Verwoest pad,-
MapMakerPlants.BrokenHouse.DisplayName,Kapot huis (stammen),-
MapMakerPlants.PlankRuin.DisplayName,Gebroken huis (Planken),-
