ID,Text,Comment
Good.Stew.PluralDisplayName,Stoofpot,1
Faction.waterbeavers.DisplayName,De Witpoten,2
Faction.waterbeavers.Description,"Volgelingen van het Ware Beverpad, voor hen is alles een huis. Hun bevolking explodeert vaak buiten controle, voedsel en water raken op, wetenschap is een luxe en je nederlaag onvermijdelijk

Vergeet wat andere facties je hebben geleerd en verwelkom je in je meest roze nachtmerrie.
<color=red>Zorg dat je de billboards bekijkt!</color>

<color=black>Beverkunst en texturen van Wolfess, enorm bedankt! Veel iconen van Thorlak, ook enorm bedankt!</color>",3
trashdump.DisplayName,Kapotte expeditiekar,4
trashdump.Description,"Je eerste districtscentrum, als je het zo mag noemen. Ontmantel het pas nadat je een beter stadscentrum hebt gebouwd.",5
trashdump.FlavorDescription,"""We kunnen niet verder, maar we kunnen ons hier vestigen""
- De expeditieleider",6
Luc.Primitivemine.DisplayName,Primitieve mijn,7
Luc.Primitivemine.Description,"Een kleine en inefficiënte manier om minerale grondstoffen te verkrijgen
<color=green>Moet 2 niveaus onder de grond mikken</color>",8
Luc.Primitivemine.FlavorDescription,"""Bevers zijn niet gemaakt om rotsen te graven""",9
Lapantouflemagic.Mediummine.DisplayName,Middelgrote mijn,10
Lapantouflemagic.Mediummine.Description,"Een grotere en diepere mijn om rijkere afzettingen te exploiteren, geeft ook toegang tot zeldzamere elementen.
Wordt geleverd met toegangstrappen en barrières om te voorkomen dat domme kleine kits vallen en gewond raken.
<color=green>Moet in een gat van 4 diep worden geplaatst!
Mijn en hekken moeten op vaste grond staan!
Plaats trappen op vuile plekken en voltooi de toegangsramp</color>",11
Lapantouflemagic.Mediummine.FlavorDescription,"""Ik geloof niet in spoken en monsters, wat zijn grues eigenlijk?""
- Mijner Zork, laatste woorden",12
Lapantouflemagic.Primitivesmetler.DisplayName,Primitieve smelterij,13
Lapantouflemagic.Primitivesmetler.Description,"Een mengsel van ijzererts en steenkool in een smeltkroes van aarde om in brand te steken.
<color=#FF6EC7>Kan functioneren zonder werknemers.</color>",14
Lapantouflemagic.Primitivesmetler.FlavorDescription,"""Zijn we zeker van het recept?""",15
Lapantouflemagic.Woodburner.DisplayName,Houtkachel,16
Lapantouflemagic.Woodburner.Description,"Een speciale vuurkorf om hout in houtskool te veranderen.
<color=#FF6EC7>Kan zonder personeel functioneren.</color>",17
Lapantouflemagic.Woodburner.FlavorDescription,"""Oh, dat zou een geweldige manier zijn om van... uhh... zaagsel af te komen! Ja, zaagsel... natuurlijk.""
- Jack de Knager",18
Lapantouflemagic.Screwpress.DisplayName,Schroefpers,19
Lapantouflemagic.Screwpress.Description,"Een sterke pers om olie uit zonnebloempitten te halen.
<color=#00FFFF>Werkt als een dijk</color>",20
Lapantouflemagic.Screwpress.FlavorDescription,"""Zonnebloemolie, essentieel voor zowel salade als machines""",21
Lapantouflemagic.Alchemist.DisplayName,Alchemist,22
Lapantouflemagic.Alchemist.Description,"Een gezellig lab om basis chemische reacties voor te bereiden.
<color=#00FFFF>Werkt als een dijk</color>",23
Lapantouflemagic.Alchemist.FlavorDescription,"""Hopelijk ontploft het niet""",24
Lapantouflemagic.Handicrafter.DisplayName,Handwerkhut,25
Lapantouflemagic.Handicrafter.FlavorDescription,"""Zolang we daar maar niet te veel van nodig hebben...""",26
