ID,Text,Comment
Cadre.Group.Bombs.DisplayName,Explosieven,
Cadre.Quadramite.DisplayName,Quadramiet,
Cadre.Quadramite.Description,Dynamiet dat 4 blokken diep ontploft,
Cadre.Quadramite.FlavourDescription,"""Vroeger was twee diep genoeg! Nu pronk je alleen maar."" —Oma Ngonel",
Cadre.Quintamite.DisplayName,Quintamiet,
Cadre.Quintamite.Description,Dynamiet dat 5 blokken diep ontploft,
Cadre.Quintamite.FlavourDescription,"“Weet je überhaupt nog waar je het gelaten hebt?"" —Oma Ngonel",
Cadre.Hexamite.DisplayName,Hexamiet,
Cadre.Hexamite.Description,Dynamiet dat 6 blokken diep ontploft,
Cadre.Hexamite.FlavourDescription,"""Alleen een dwaas - of een genie - graaft zo diep."" – Oma Ngonel",
Cadre.Septamite.DisplayName,Septamiet,
Cadre.Septamite.Description,Dynamiet dat 7 blokken diep ontploft,
Cadre.Septamite.FlavourDescription,"""Zeven is geluk, tenzij je te dichtbij staat."" —Ouwe Kazko",
Cadre.Octamite.DisplayName,Octamiet,
Cadre.Octamite.Description,Dynamiet dat 8 blokken diep ontploft,
Cadre.Octamite.FlavourDescription,"""Weet je zeker dat dit niet overdreven is?"" —Ouwe Kazko",
Cadre.Nonamite.DisplayName,Nonamiet,
Cadre.Nonamite.Description,Dynamiet dat 9 blokken diep ontploft,
Cadre.Nonamite.FlavourDescription,"""We zullen de bodem nooit meer vinden."" —Ouwe Kazko",
Cadre.Decamite.DisplayName,Decamiet,
Cadre.Decamite.Description,Dynamiet dat 10 blokken diep ontploft,
Cadre.Decamite.FlavourDescription,"""Veel succes met dat weer opvullen!"" —Pina",
Cadre.Undecamite.DisplayName,Undecamiet,
Cadre.Undecamite.Description,Dynamiet dat 11 blokken diep ontploft,
Cadre.Undecamite.FlavourDescription,"“Je speelt met vuur… en niet een beetje"" —Ouwe Kazko",
Cadre.Dodecamite.DisplayName,Dodecamiet,
Cadre.Dodecamite.Description,Dynamiet dat 12 blokken diep ontploft,
Cadre.Dodecamite.FlavourDescription,"""We hebben een grotere schep nodig."" —Pina",
Cadre.Tredecamite.DisplayName,Tredecamiet,
Cadre.Tredecamite.Description,Dynamiet dat 13 blokken diep ontploft,
Cadre.Tredecamite.FlavourDescription,"""Voor sommigen is het ongeluk, maar niet voor mij!"" —Pina",
Cadre.Quadradecamite.DisplayName,Quadradecamiet,
Cadre.Quadradecamite.Description,Dynamiet dat 14 blokken diep ontploft,
Cadre.Quadradecamite.FlavourDescription,"""Wie houd de tel ook bij? Gewoon aansteken!"" —Pina",
Cadre.Quintadecamite.DisplayName,Quintadecamiet,
Cadre.Quintadecamite.Description,Dynamiet dat 15 blokken diep ontploft,
Cadre.Quintadecamite.FlavourDescription,"""Als het je tanden niet doet trillen, doe je het niet goed."" —Ouwe Kazko",
Cadre.Hexadecamite.DisplayName,Hexadecamiet,
Cadre.Hexadecamite.Description,Dynamiet dat 16 blokken diep ontploft,
Cadre.Hexadecamite.FlavourDescription,"""Dit zullen ze vanuit de hele nederzetting horen!"" —Pina",
