ID,Text,Comment
IgorZ.Automation.DebugPickTool.Title,Debug tool,
IgorZ.Automation.DebugPickTool.Description,Drukt componenten af op het geselecteerde object.,
IgorZ.Automation.DebugPickTool.DescriptionHint1,Houd <i>SHIFT</i> ingedrukt om Toegankelijk af te drukken.,
IgorZ.Automation.DebugPickTool.DescriptionHint2,Houd <i>CTRL</i> ingedrukt om NavMesh-randen af te drukken.,
IgorZ.Automation.DebugFinishNowTool.Title,Maak-nu-af debug tool,
IgorZ.Automation.DebugFinishNowTool.Description,Maakt de geselecteerde gebouwen onmiddellijk af.,
IgorZ.Automation.ToolGroup.Main.DisplayName,Automatie instellen,
IgorZ.Automation.ToolGroup.Terrain.DisplayName,Dynamiet ,
IgorZ.Automation.ToolGroup.Water.DisplayName,Water,
IgorZ.Automation.ToolGroup.Power.DisplayName,Energie,
IgorZ.Automation.ToolGroup.Storage.DisplayName,Opslag,
IgorZ.Automation.ToolGroup.Population.DisplayName,Bevolking,
IgorZ.Automation.Tool.tmpl.2LevelsDynamite.DisplayName,Dynamiet 2x laten ontploffen,
IgorZ.Automation.Tool.tmpl.3LevelsDynamite.DisplayName,Dynamiet 3x laten ontploffen,
IgorZ.Automation.Tool.tmpl.4LevelsDynamite.DisplayName,Dynamiet 4x laten ontploffen,
IgorZ.Automation.Tool.tmpl.5LevelsDynamite.DisplayName,Dynamiet 5x laten ontploffen,
IgorZ.Automation.Tool.tmpl.6LevelsDynamite.DisplayName,Dynamiet 6x laten ontploffen,
IgorZ.Automation.Tool.tmpl.XLevelsDynamite.Description,"Dit sjabloon kan worden toegepast op dynamiet, ongeacht of het af is of nog in aanbouw is. Na voltooiing zal het dynamiet automatisch ontploffen en zal een nieuwe dynamiet worden geplaatst om dieper te graven.",
IgorZ.Automation.Tool.tmpl.EmptyAt50pct.DisplayName,Opslag legen als meer dan 50% vol,
IgorZ.Automation.Tool.tmpl.EmptyAt60pct.DisplayName,Opslag legen als meer dan 60% vol,
IgorZ.Automation.Tool.tmpl.EmptyAt70pct.DisplayName,Opslag legen als meer dan 70% vol,
IgorZ.Automation.Tool.tmpl.EmptyAt80pct.DisplayName,Opslag legen als meer dan 80% vol,
IgorZ.Automation.Tool.tmpl.EmptyAt90pct.DisplayName,Opslag legen als meer dan 90% vol,
