ID,Text,Comment
IgorZ.SmartPower.BatteryCapacity,Batterijlading: {0} / {1},
IgorZ.SmartPower.BatteryCharging,Batterijen worden opgeladen: <GreenHighlight>🡅</GreenHighlight>{0} ({1}),
IgorZ.SmartPower.BatteryDischarging,Batterijen raken leeg: <RedHighlight>🡇</RedHighlight>{0} ({1}),
IgorZ.SmartPower.PoweredGenerator.NeverStop,Stop deze generator nooit,
IgorZ.SmartPower.PoweredGenerator.Automated,Automatiseer deze generator,
IgorZ.SmartPower.PoweredGenerator.ChargeBatteriesRangeText,Houd de batterijlading binnen het bereik van {0}% - {1}%,
IgorZ.SmartPower.PoweredGenerator.ApplyToAllGenerators,Toepassen op alle generatoren,
IgorZ.SmartPower.PoweredGenerator.AppliedToGenerators,Toegepast op {0} generatoren,
IgorZ.SmartPower.MechanicalBuilding.NoWorkersStatus,<SolidHighlight>⏻</SolidHighlight> Geen werknemers op de werkplek,
IgorZ.SmartPower.MechanicalBuilding.NoFuelStatus,<SolidHighlight>⏻</SolidHighlight> Brandstof is op,
IgorZ.SmartPower.MechanicalBuilding.NoInputStatus,<SolidHighlight>⏻</SolidHighlight> Ontbrekende ingrediënten,
IgorZ.SmartPower.MechanicalBuilding.BlockedOutputStatus,<SolidHighlight>⏻</SolidHighlight> Te veel producten,
IgorZ.SmartPower.MechanicalBuilding.PowerSavingModeStatus,Energiebesparende modus,
