ID,Text,Comment
IgorZ.TimberCommons.WaterTower.Utilization,Benut potentieel: {0:0.#}%,
IgorZ.TimberCommons.WaterTower.IrrigatedArea,Overdekt gebied: {0},
IgorZ.TimberCommons.WaterTower.EffectiveRange,Effectief bereik: {0},
IgorZ.TimberCommons.WaterTower.NoTilesToIrrigate,Geen bereikbare tegels om te irrigeren,
IgorZ.TimberCommons.GrowthRateModifier.BoostPercentile,Groeiboost: <GreenHighlight>🡅</GreenHighlight>{0:0.#}%,"It indicates growth boost, it's a good effect."
IgorZ.TimberCommons.GrowthRateModifier.SlowdownPercentile,Groeivertraging: <RedHighlight>🡇</RedHighlight>{0:0.#}%,"It indicates growth penalty, it's a bad effect."
IgorZ.TimberCommons.AdjustableWaterOutput.StopAboveDownstream,Sluit boven diepte bij overloop: {0},
IgorZ.TimberCommons.InjuryProbability,Kans op letsel: {0} per uur,
IgorZ.TimberCommons.Settings.TimeAndDurationSection,Tijd weergave,
IgorZ.TimberCommons.Settings.TimeAndDuration.DaysHoursSupplyLeft,Toon ‘voorraad is genoeg voor’ in dagen/uren,
IgorZ.TimberCommons.Settings.TimeAndDuration.DaysHoursGrowingTime,Toon groeitijd in dagen/uren,
IgorZ.TimberCommons.Settings.TimeAndDuration.DaysHoursForRecipeDuration,Toon receptentijd in dagen/uren,
IgorZ.TimberCommons.Settings.TimeAndDuration.HigherPrecisionForFuelConsumingRecipes,Toon het brandstofverbruik van recepten met een hogere precisie,
IgorZ.TimberCommons.Settings.IrrigationSystemSection,Irrigatie systeem,
IgorZ.TimberCommons.Settings.IrrigationSystem.OverrideDesertLevelsForWaterTowers,Toon geïrrigeerde tegels evenals gehydrateerde,
IgorZ.TimberCommons.Settings.IrrigationSystem.OverrideDesertLevelsForWaterTowersTooltip,"Geeft aan of de tegels er glanzend groen uit moeten zien (goed bevochtigd). Anders zal de standaardlogica ze weergeven als 'nauwelijks bevochtigd', aangezien de irrigatietorens alleen het basisvochtigheidsniveau geven.",
IgorZ.TimberCommons.Settings.WaterBuildingsSection,Watergebouwen,
IgorZ.TimberCommons.Settings.WaterBuildings.AdjustWaterDepthAtSpillwayOnMechanicalPumps,Toestaan om maximaal waterpeil in te stellen bij de overloop van de mechanische pompen,
IgorZ.TimberCommons.Settings.WaterBuildings.AdjustWaterDepthAtSpillwayOnFluidDumps,Toestaan om maximaal waterniveau in te stellen bij de overloop van de vloeistofdruppels,
IgorZ.TimberCommons.Settings.WaterBuildings.ShowCurrentStrengthInSluice,Toon huidige sterkte in sluis,
IgorZ.TimberCommons.Settings.InjuryProbabilitySection,Kans op letsel,
IgorZ.TimberCommons.Settings.InjuryProbability.ShowInFragment,Toon de kans op letsel in het rechter paneel,
IgorZ.TimberCommons.Settings.InjuryProbability.ShowAvatarHint,Toon indicator op het gebouwicoontje,
IgorZ.TimberCommons.Settings.InjuryProbability.ShowAvatarHintTooltip,Beweeg de muis over de indicator om de kans op een blessure te zien,
IgorZ.TimberCommons.Settings.DebugSection,Debuggen en probleemoplossing,
IgorZ.TimberCommons.Settings.Debug.VerboseLogging,Uitgebreide logs,
IgorZ.TimberCommons.Settings.Debug.VerboseLoggingTooltip,"Logboeken bevatten meer nuttige details, maar dit kan van invloed zijn op de spelprestaties.",
