ID,Text,Comment
Building.PipeBox.DisplayName,Doos met buis,
Building.PipeStraight.DisplayName,Buis recht,
Building.PipeTurn.DisplayName,Buis hoek,
Building.PipeTIntersection.DisplayName,Buis T-kruising,
Building.PipeXIntersection.DisplayName,Buis X-kruising,
Building.PipeUpward.DisplayName,Opwaartse Buis,
Building.PipeVertical.DisplayName,Verticale buis,
Building.PipeDownward.DisplayName,Neerwaartse Buis,
Building.PipeBox.Description,Buis in een waterdicht blok.,
Building.PipeValve.DisplayName,Buisklep,
Building.PipeValve.Description,Giet water weg als het niet onder water is.,
Building.PipeWaterPump.DisplayName,Doos met waterpomp,
Building.PipeWaterPump.Description,Transporteert water met kracht tot een maximale diepte van 6 meter.,
Building.PipeWaterPump.TakeToPipe,Leid water naar de leidingen.,
Building.PipeWaterPump.TakeFromPipe,Haal water uit de leidingen.,
Building.PipeGeneric.Description,Transporteert water.,
