ID,Text,Comment
Tobbert.TrackStraight.DisplayName,Recht stuk Spoor,-
Tobbert.TrackStraight.Description,Een spoorstuk dat rechtdoor gaat. Kan worden veranderd in een eenrichtingssignaal met de schakelaar wanneer erop wordt geklikt. Maakt een spoorstuk tussen eenrichtingsverkeer waar één trein op kan rijden (aangegeven door de kleuren).,-
Tobbert.TrackStraight.FlavorDescription,Choo! Choo!,-
Tobbert.TrackOneWay.DisplayName,Een richting Spoor,-
Tobbert.TrackOneWay.Description,Vertelt treinen dat ze alleen door de groene kant kunnen. Kan worden teruggezet naar een recht spoor door de schakelaar te gebruiken wanneer erop wordt geklikt. Maakt een spoorsectie tussen de enkele richtingen waar één trein op kan rijden (aangegeven door de kleuren).,-
Tobbert.TrackOneWay.FlavorDescription,Jij… Mag… Passeren…,-
Tobbert.TrackCrossing.DisplayName,Spoorovergang,-
Tobbert.TrackCrossing.Description,Bevers kunnen hier de sporen oversteken. Botsing wordt niet geïmplementeerd omdat de prestaties er te veel onder lijden.,-
Tobbert.TrackCrossing.FlavorDescription,Die trein nadert heel sne-,RIP
Tobbert.TrackHillStart.DisplayName,Hellend Spoor,-
Tobbert.TrackHillStart.Description,Een stuk spoor dat treinen omhoog en omlaag laat gaan.,-
Tobbert.TrackHillStart.FlavorDescription,Is de trein niet te zwaar?,-
Tobbert.TrackCorner1x1.DisplayName,Spoor Bocht 1x1,-
Tobbert.TrackCorner1x1.Description,Een stuk spoor dat om de bocht gaat.,-
Tobbert.TrackCorner1x1.FlavorDescription,Het kan een beetje krap zijn,-
Tobbert.TrackCorner2x2.DisplayName,Spoor Bocht 2x2,-
Tobbert.TrackCorner2x2.Description,Een stuk spoor dat om de bocht gaat.,-
Tobbert.TrackCorner2x2.FlavorDescription,Wat een mooie bocht.,-
Tobbert.TrackTIntersection1x1.DisplayName,Spoor T-kruising 1x1,-
Tobbert.TrackTIntersection1x1.Description,Een T-kruising voor treinen.,-
Tobbert.TrackTIntersection1x1.FlavorDescription,Waar zal ik heengaan?,-
Tobbert.TrackTIntersection2x3.DisplayName,Spoor T-kruising 2x3,-
Tobbert.TrackTIntersection2x3.Description,Een T-kruising voor treinen.,-
Tobbert.TrackTIntersection2x3.FlavorDescription,Waar gaan die paden heen?,-
Tobbert.TrackXIntersection1x1.DisplayName,Spoor X-kruising 2x2,-
Tobbert.TrackXIntersection1x1.Description,Een X-kruising voor treinen.,-
Tobbert.TrackXIntersection1x1.FlavorDescription,Zo veel mogelijkheden!,-
Tobbert.TrackXIntersection3x3.DisplayName,Spoor X-kruising 3x3,-
Tobbert.TrackXIntersection3x3.Description,Een X-kruising voor treinen.,-
Tobbert.TrackXIntersection3x3.FlavorDescription,Ik kan niet kiezen waar ik heen ga…,-
Tobbert.TrackRIntersection2x3.DisplayName,Spoor wissel 2x3,-
Tobbert.TrackRIntersection2x3.Description,Een wissel in de vorm van een R voor treinen.,-
Tobbert.TrackRIntersection2x3.FlavorDescription,Waar gaan we heen?,A joke of the letter R
Tobbert.GoodsStation.DisplayName,Goederen station,-
Tobbert.GoodsStation.Description,Maakt het mogelijk om goederen per trein te vervoeren. Een goed kan worden verzonden of ontvangen op een station. Ontvangen goederen worden alleen verplaatst naar opslagplaatsen die zijn ingesteld om te verkrijgen.,-
Tobbert.GoodsStation.FlavorDescription,Kijk naar alle goederen die erop passen!,-
Tobbert.PassengerStation.DisplayName,Passagiers station,-
Tobbert.PassengerStation.Description,Via dit station kunnen bevers in de trein stappen en naar andere stations reizen die met elkaar verbonden zijn.,-
Tobbert.PassengerStation.FlavorDescription,Bever trein!,-
Tobbert.PassengerStation.DistrictObjectToggle,Gaat door districten:,-
Tobbert.PassengerStation.DistrictObject,"Als deze optie is ingeschakeld, mogen bevers ALLEEN naar passagiersstations gaan waar deze instelling ook is ingeschakeld en die zich in andere districten bevinden.",-
Tobbert.PassengerStation.EmptyStation,Er zijn geen passagiers aan het wachten.,-
Tobbert.WaitingStation.DisplayName,Wachtstation,-
Tobbert.WaitingStation.Description,"Treinen kunnen hier wachten als ze niets te doen hebben. Dit voorkomt dat treinen de sporen bezetten. Treinen kunnen hier niet over pathfinden, dus zorg ervoor dat het niet op cruciale paden ligt.",-
Tobbert.WaitingStation.FlavorDescription,Waar kan ik ook alweer heengaan?,-
Tobbert.TrainYard.DisplayName,Trein fabriek,-
