ID,Text,Comment
eMka.GoodStatistics.BatchControlKeyBinding,Open Goederen statistiek tabblad,KeyBinding label
eMka.GoodStatistics.BatchControlTabName,Goederen statistiek,Name of the tab in settlement panel
eMka.GoodStatistics.DepletionDaysLeft,Voorspelde tijd tot leeg: {0},"{0} stands for formatted Time.DaysShort, e.g. ""1d"" for 1 day"
eMka.GoodStatistics.GoodSampleTime,{0} geleden uitgerekend,"{0} stands for formatted Time.HoursShort, e.g. ""1h"" for 1 hour"
eMka.GoodStatistics.GrowingDaysLeft,Voorspelde tijd tot vol: {0},"{0} stands for formatted Time.DaysShort, e.g. ""1d"" for 1 day"
eMka.GoodStatistics.Settings.AnalyzeGoodsWithoutStockpiles,Goederen zonder opslag analyseren,
eMka.GoodStatistics.Settings.ConsecutiveMicroChangesThreshold,Drempelwaarde voor opeenvolgende microwijzigingen,
eMka.GoodStatistics.Settings.ConsecutiveMicroChangesThresholdTooltip,Aantal opeenvolgende microveranderingen (onder de drempelwaarde voor langzame dagelijkse verandering) om als trend te beschouwen,"Tooltip for ConsecutiveMicroChangesThreshold setting, text in the brackets should be the same as eMka.GoodStatistics.Settings.SlowChangeThreshold key"
eMka.GoodStatistics.Settings.EMAAnalyzerHeader,Exponentiële voortschrijdende gemiddelde-analysator,
eMka.GoodStatistics.Settings.FastChangeThreshold,Snelle dagelijkse veranderingsdrempel,
eMka.GoodStatistics.Settings.IgnoreGoodsWithStorageLessThan,Negeer goederen met een opslagcapaciteit van minder dan,
eMka.GoodStatistics.Settings.ModerateChangeThreshold,Matige dagelijkse veranderingsdrempel,
eMka.GoodStatistics.Settings.SamplesPerDay,Aantal keer uitrekenen per dag,
eMka.GoodStatistics.Settings.SamplesToAnalyze,Aantal monsters om te analyseren,
eMka.GoodStatistics.Settings.BaseSettings,Standaard instellingen,
eMka.GoodStatistics.Settings.ShowTrendsOnTopBar,Trends weergeven op bovenste balk,
eMka.GoodStatistics.Settings.SlowChangeThreshold,Langzame dagelijkse veranderingsdrempel,
