ID,Text,Comment
eMka.Minimap.Settings.BlockObjectColor,Voorwerp,
eMka.Minimap.Settings.BuildingColor,Gebouw,
eMka.Minimap.Settings.ChunkSize,Brokgrootte,
eMka.Minimap.Settings.ChunkSizeTooltip,"De grootte van de chunks waarin de minimap is verdeeld voor rendering.
Lagere waarden zorgen ervoor dat de minimap langzamer wordt gerenderd, maar kunnen helpen bij prestatieproblemen.",
eMka.Minimap.Settings.Colors,Kleuren,
eMka.Minimap.Settings.DeadPlantColor,Dode plant,
eMka.Minimap.Settings.DeadTreeColor,Dode boom,
eMka.Minimap.Settings.DeepBadwaterColor,Diep slechtwater,
eMka.Minimap.Settings.DeepWaterColor,Diep water,
eMka.Minimap.Settings.DisableSize,Toon geen minimap voor kaarten met zijden kleiner dan,
eMka.Minimap.Settings.HighestGrassColor,Hoogste gras,
eMka.Minimap.Settings.HighestTerrainColor,Hoogste terrein,
eMka.Minimap.Settings.LowestGrassColor,Laagste gras,
eMka.Minimap.Settings.LowestTerrainColor,Laagste terrein,
eMka.Minimap.Settings.PathColor,Pad,
eMka.Minimap.Settings.PlantColor,Plant,
eMka.Minimap.Settings.ShallowBadwaterColor,Ondiep slechtwater,
eMka.Minimap.Settings.ShallowWaterColor,Ondiep water,
eMka.Minimap.Settings.TreeColor,Boom,
eMka.Minimap.Settings.WaterPlantColor,Waterplant,
