ID,Text,Comment
menu.rotatingsun,Opties voor draaiende zon,
rotatingsun.optionsheader,Opties voor draaiende zon,
rotatingsun.enablesun,Zonrotatie inschakelen,
rotatingsun.enablerotatingsunflowers,Zonnebloemrotatie inschakelenn,
rotatingsun.SunAngleTemperateHeader,Zonhoek tijdens gematigd weer,
rotatingsun.SunAngleDroughtHeader,Zonhoek tijdens droogte,
rotatingsun.SunAngleLowTemperate,Lage zonhoek gematigd weer,
rotatingsun.SunAngleHighTemperate,Hoge zonhoek gematigd weer,
rotatingsun.SunAngleLowDrought,Lage zonhoek droogte,
rotatingsun.SunAngleHighDrought,Hoge zonhoek droogte,
rotatingsun.MoonAngle,Maan hoek,
rotatingsun.SunAngleLowBadtide,Lage zonhoek slechtwatervloed,
rotatingsun.SunAngleHighBadtide,Hoge zonhoek slechtwatervloed,
