ID,Text,Comment
Battery.PowerShaftExtensions.ToolGroups.ShaftBridges.DisplayName,Aandrijfasbruggen,-
Battery.PowerShaftExtensions.ToolGroups.ShaftTunnels.DisplayName,Aandrijfastunnels,-
Battery.PowerShaftExtensions.PowerShaftBridgex3.DisplayName,Aandrijfasbrug (1-overspanning),-
Battery.PowerShaftExtensions.PowerShaftBridgex3.Description,Een aandrijfasbrug die een kloof van 1 blok overbrugt,-
Battery.PowerShaftExtensions.PowerShaftBridgex4.DisplayName,Aandrijfasbrug (2-overspanning),-
Battery.PowerShaftExtensions.PowerShaftBridgex4.Description,Een aandrijfasbrug die een kloof van 2 blokken overbrugt,-
Battery.PowerShaftExtensions.PowerShaftBridgex5.DisplayName,Aandrijfasbrug (3-overspanning),-
Battery.PowerShaftExtensions.PowerShaftBridgex5.Description,Een aandrijfasbrug die een kloof van 3 blokken overbrugt,-
Battery.PowerShaftExtensions.PowerShaftBridgex6.DisplayName,Aandrijfasbrug (4-overspanning),-
Battery.PowerShaftExtensions.PowerShaftBridgex6.Description,Een aandrijfasbrug die een kloof van 4 blokken overbrugt,-
Battery.PowerShaftExtensions.PowerShaftBridgex7.DisplayName,Aandrijfasbrug (5-overspanning),-
Battery.PowerShaftExtensions.PowerShaftBridgex7.Description,Een aandrijfasbrug die een kloof van 5 blokken overbrugt,-
Battery.PowerShaftExtensions.PowerShaftBridgex8.DisplayName,Aandrijfasbrug (6-overspanning),-
Battery.PowerShaftExtensions.PowerShaftBridgex8.Description,Een aandrijfasbrug die een kloof van 6 blokken overbrugt,-
Battery.PowerShaftExtensions.PowerShaftBridgex9.DisplayName,Aandrijfasbrug (7-overspanningen),-
Battery.PowerShaftExtensions.PowerShaftBridgex9.Description,Een aandrijfasbrug die een kloof van 7 blokken overbrugt,-
Battery.PowerShaftExtensions.PowerShaftBridgex10.DisplayName,Aandrijfasbrug (8-overspanning),-
Battery.PowerShaftExtensions.PowerShaftBridgex10.Description,Een aandrijfasbrug die een kloof van 8 blokken overbrugt,-
Battery.PowerShaftExtensions.PowerShaftBridgex11.DisplayName,Aandrijfasbrug (9-overspanningen),-
Battery.PowerShaftExtensions.PowerShaftBridgex11.Description,Een aandrijfasbrug die een kloof van 9 blokken overbrugt,-
Battery.PowerShaftExtensions.PowerShaftBridgex12.DisplayName,Aandrijfasbrug (10-overspanning),-
Battery.PowerShaftExtensions.PowerShaftBridgex12.Description,Een aandrijfasbrug die een kloof van 10 blokken overbrugt,-
Battery.PowerShaftExtensions.PowerShaftTunnelx3.DisplayName,Aandrijfastunnel (1 lang),-
Battery.PowerShaftExtensions.PowerShaftTunnelx3.Description,Een diepe aandrijfastunnel die onder de grond graaft. Strekt zich uit over 1 blok.,-
Battery.PowerShaftExtensions.PowerShaftTunnelx4.DisplayName,Aandrijfastunnel (2 lang),-
Battery.PowerShaftExtensions.PowerShaftTunnelx4.Description,Een diepe aandrijfastunnel die onder de grond graaft. Strekt zich uit over 2 blokken.,-
Battery.PowerShaftExtensions.PowerShaftTunnelx5.DisplayName,Aandrijfastunnel (3 lang),-
Battery.PowerShaftExtensions.PowerShaftTunnelx5.Description,Een diepe aandrijfastunnel die onder de grond graaft. Strekt zich uit over 3 blokken.,-
Battery.PowerShaftExtensions.PowerShaftTunnelx6.DisplayName,Aandrijfastunnel (4 lang),-
Battery.PowerShaftExtensions.PowerShaftTunnelx6.Description,Een diepe aandrijfastunnel die onder de grond graaft. Strekt zich uit over 4 blokken.,-
Battery.PowerShaftExtensions.PowerShaftTunnelx7.DisplayName,Aandrijfastunnel (5 lang),-
Battery.PowerShaftExtensions.PowerShaftTunnelx7.Description,Een diepe aandrijfastunnel die onder de grond graaft. Strekt zich uit over 5 blokken.,-
Battery.PowerShaftExtensions.PowerShaftTunnelx8.DisplayName,Aandrijfastunnel (6 lang),-
Battery.PowerShaftExtensions.PowerShaftTunnelx8.Description,Een diepe aandrijfastunnel die onder de grond graaft. Strekt zich uit over 6 blokken.,-
Battery.PowerShaftExtensions.PowerShaftTunnelx9.DisplayName,Aandrijfastunnel (7 lang),-
Battery.PowerShaftExtensions.PowerShaftTunnelx9.Description,Een diepe aandrijfastunnel die onder de grond graaft. Strekt zich uit over 7 blokken.,-
Battery.PowerShaftExtensions.PowerShaftTunnelx10.DisplayName,Aandrijfastunnel (8 lang),-
Battery.PowerShaftExtensions.PowerShaftTunnelx10.Description,Een diepe aandrijfastunnel die onder de grond graaft. Strekt zich uit over 8 blokken.,-
Battery.PowerShaftExtensions.PowerShaftTunnelx11.DisplayName,Aandrijfastunnel (9 lang),-
Battery.PowerShaftExtensions.PowerShaftTunnelx11.Description,Een diepe aandrijfastunnel die onder de grond graaft. Strekt zich uit over 9 blokken.,-
Battery.PowerShaftExtensions.PowerShaftTunnelx12.DisplayName,Aandrijfastunnel (10 lang),-
Battery.PowerShaftExtensions.PowerShaftTunnelx12.Description,Een diepe aandrijfastunnel die onder de grond graaft. Strekt zich uit over 10 blokken.,-
