ID,Text,Comment
UI.BeaverGender,Geslacht: {0},
Gender.Ace,Ace,
Gender.Male,Mannelijk,
Gender.Female,Vrouwelijk,
Gender.Duon,Duon,
Gender.Population.Ace,Ace Beaver volwassen,
Gender.Population.Male,Mannelijke Bever volwassen,
Gender.Population.Female,Vrouwelijke Bever volwassen,
Gender.Population.Duon,Duon Bever volwassen,
UI.BeaverGender.TooltipTitle,Voortplantingsrol,
UI.CanImpregnate,Kan andere bevers zwanger maken,
UI.CanBeImpregnated,Kan zwanger worden,
UI.UnableToProcreate,Kan of wil zich niet voortplanten,
UI.Pregnancy,Zwangerschap,
Need.Pregnant.DisplayName,Zwanger,
