ID,Text,Comment
ToolGroups.Platforms,Platforms en overhangen,
Building.Overhang7x1.DisplayName,Overhang 7x1,
Building.Overhang3x1.Centered.DisplayName,Overhang 3x1 gecentreerd,
Building.Overhang5x1.Centered.DisplayName,Overhang 5x1 gecentreerd,
Building.Overhang7x1.Centered.DisplayName,Overhang 7x1 gecentreerd,
Building.MetalPlatform.DisplayName,Metalen platform 1x1,
Building.MetalPlatform7x7.DisplayName,Metalen platform 7x7,
Building.MetalPlatform7x7.Ladder.DisplayName,Metalen platform 7x7 met ladder,
Building.SuspensionBridge7x1.DisplayName,Hangbrug 7x1,
Building.SuspensionBridge8x1.DisplayName,Hangbrug 8x1,
