ID,Text,Comment
Calloatti.AutoTools.Automation.TabName,Automatisering,
Calloatti.AutoTools.DeviceState,Apparaatstatus,
Calloatti.AutoTools.InputTransmitter,Invoer: {0},
Calloatti.AutoTools.KeyBind.AutomationTab,Open het tabblad Automatisering,
Calloatti.AutoTools.KeyBind.Toggle.Map,Schakel Automatiseringskaart in,
Calloatti.AutoTools.MapState.Global,Automatiseringskaart: GLOBAL,
Calloatti.AutoTools.MapState.Off,Automatiseringskaart: UIT,
Calloatti.AutoTools.MapState.Partition,Automatiseringskaart: PARTITIE,
Calloatti.AutoTools.MoveConnections.ToolDescription,Selecteer het doelgebouw waar je verbindingen naartoe wilt verplaatsen.,
Calloatti.AutoTools.MoveConnections.Tooltip,Verbindingen verplaatsen,
Calloatti.AutoTools.NetworkConflict,Netwerkconflict / Oneindige lus gedetecteerd!,
Calloatti.AutoTools.NetworkIdHeader,Netwerk-ID: {0} ({1}),
Calloatti.AutoTools.OutputBroadcast,Uitvoeruitzending,
Calloatti.AutoTools.PartitionInfo,Partitie-ID: {0} | Artikelen: {1},
Calloatti.AutoTools.UnknownBuilding,Onbekend gebouw,
Calloatti.AutoTools.Unpartitioned,Niet gepartitioneerd,
Calloatti.AutoTools.Usages,Gebruik,
KeyBindingGroup.Calloatti.AutoTools,Automatiseringstools,
