ID,Text,Comment
Casthorde.Multiplayer,Multiplayer,
Casthorde.LobbyTitle,Multiplayerlobby,
Casthorde.ReconnectingTitle,Opnieuw verbinding maken,
Casthorde.Ready,Klaar,
Casthorde.NotReady,Niet klaar,
Casthorde.Host,Host,
Casthorde.HostBadge,HOST,
Casthorde.Invite,Uitnodiging,
Casthorde.Join,Meedoen,
Casthorde.AvailableSlot,Beschikbare sleuf,
Casthorde.PlayerView,Spelerweergave,
Casthorde.LaunchGameButton,Start het spel,
Casthorde.NewMultiplayerGame,Nieuw multiplayerspel,
Casthorde.LoadMultiplayerGame,Multiplayer-spel laden,
Casthorde.KickPromptFormat,{0} uit het spel verwijderen?,
Casthorde.KickButton,Verwijder,
Casthorde.ReceivingHostSave,Spel van host ontvangen...,
Casthorde.WaitingForHost,Wachten op de host...,
Casthorde.WaitingOtherPlayers,Wachten op andere spelers...,
Casthorde.ReconnectingPlease,"Opnieuw verbinding maken, een ogenblik geduld...",
Casthorde.ConnectingPlease,"Bezig met verbinden, even geduld a.u.b....",
Casthorde.HostPlacingCenter,"De host plaatst zijn eerste districtscentrum, even geduld a.u.b....",
Casthorde.OnlyHostCanSave,"Alleen de host kan het multiplayer-spel opslaan. Vraag de host om op te slaan, zodat alle spelers dezelfde spelstatus delen.",
Casthorde.UnlockButton,Ontgrendelen,
Casthorde.UnlockPromptFormat,Dit gebouw ontgrendelen voor {0}? Kosten: {1} kennis.,
Casthorde.NotEnoughScienceFormat,"Niet genoeg kennis voor {0}. Kosten: {1}, je hebt {2}.",
Casthorde.Back,Terug,
Casthorde.InitialPosition,Uitgangspositie,
Casthorde.DistrictOwnedByFormat,Dit district behoort tot {0}.,
Casthorde.ForeignDeleteFormat,Het geselecteerde gebouw behoort tot district {0} van {1}; je kunt het niet slopen!,
