ID,Text,Comment
Good.CocaLeaves.DisplayName,Rijstblad,
Good.CocaLeaves.PluralDisplayName,Rijst bladeren,
Good.BasePaste.DisplayName,Rijstpasta,
Good.BasePaste.PluralDisplayName,Rijstpasta,
Good.Cocaine.DisplayName,Rijstpoeder,
Good.Cocaine.PluralDisplayName,Rijstpoeder,
Need.Cocaine.DisplayName,Rijstpoeder,
Need.Addiction.DisplayName,Verslaving,
NaturalResource.CocaPlant.DisplayName,Rijstplant,
NaturalResource.CocaPlant.FlavorDescription,"""Het zijn maar wilde kaneelstruiken, agent.""",
Recipe.Cocaine.PluralDisplayName,Rijstpoeder,
Need.Withdrawal.DisplayName,Ontwenning,
Need.Withdrawal.WorkRefusalWarning,Te onstabiel om te werken,
Need.Withdrawal.CriticalDescription,Beaver lijdt aan ontwenning.,
Need.Withdrawal.CriticalDescriptionShort,Bever in ontwenning,
