ID,Text,Comment
LV.CBlt.ConveyorBeltName,Transportband,
LV.CBlt.SmartConveyorBeltName,Slimme transportband,
LV.CBlt.ConveyorBeltMergerName,Transportbandsamenvoeger,
LV.CBlt.ConveyorBeltSplitterName,Transportbandsplitter,
LV.CBlt.ConveyorLiftUpName,Transportband omhoog,
LV.CBlt.ConveyorLiftDownName,Transportband omlaag,
LV.CBlt.ConveyorBeltDescription,Transporteert items horizontaal tussen twee gebouwen.,
LV.CBlt.SmartConveyorBeltDescription,Transporteert goederen horizontaal tussen twee gebouwen en filtert welke goederen worden geaccepteerd.,
LV.CBlt.ConveyorBeltMergerDescription,Voegt goederen van meerdere invoertransportbanden samen tot één uitvoertransportband.,
LV.CBlt.ConveyorBeltSplitterDescription,Verdeelt goederen van één invoerband over meerdere uitvoerbanden.,
LV.CBlt.ConveyorLiftUpDescription,Tilt goederen naar het gebouw erboven.,
LV.CBlt.ConveyorLiftDownDescription,Laat goederen zakken naar het gebouw eronder.,
LV.CBlt.ConveyorBeltFlavor,Volkstaart-ingenieurs zeggen dat het is geïnspireerd door het kijken naar hout dat bergafwaarts rolt.,
LV.CBlt.SmartConveyorBeltFlavor,De band weet precies wat hij wil. Afgewezen goederen vatten het persoonlijk op.,
LV.CBlt.ConveyorBeltMergerFlavor,Een vreedzame oplossing voor het hebben van te veel richtingen.,
LV.CBlt.ConveyorBeltSplitterFlavor,Het creëert opties. Goed kiezen is de taak van iemand anders.,
LV.CBlt.ConveyorLiftUpFlavor,Voor een IJzertand-uitvinding is het verrassend <i>opbeurend</i>.,
LV.CBlt.ConveyorLiftDownFlavor,'Zou dit ding geen stroom moeten produceren in plaats van verbruiken?',
LV.CBlt.TravelTime,<YellowHighlight>Reistijd:</YellowHighlight> {0:F1}u (doorvoer: {1:F1} items/u),
LV.CBlt.Capacity,<YellowHighlight>Capaciteit:</YellowHighlight> {0} items,
LV.CBlt.EjectContent,Inhoud uitwerpen,
LV.CBlt.StuckStatus,Hulpbronnen zitten vast op de lopende band.,
LV.CBlt.StuckStatusShort,Transportband zit vast,
LV.CBlt.FilteredItem,Gefilterd item:,
LV.CBlt.CannotCarry,<RedHighlight>Kan niet transporteren:</RedHighlight> {0},
LV.CBlt.GoodType_Pileable,Stapelbaar,
LV.CBlt.GoodType_Box,Dozen,
LV.CBlt.GoodType_Liquid,Vloeistof,
LV.CBlt.NoPower,Geen stroom,
LV.CBlt.NoPowerDesc,Transportbanden hebben geen stroom meer nodig om te functioneren.,
LV.CBlt.EarlierAvailability,Eerdere beschikbaarheid,
LV.CBlt.EarlierAvailabilityDesc,Vermindert de wetenschaps- en constructiekosten voor gebouwen met transportbanden aanzienlijk,
LV.CBlt.Update110,Splitter toegevoegd. Optie zonder stroom toegevoegd in de mod-instellingen.,
Name_ConveyorBeltDebugFragment,Debuggen van transportband,
Name_ConveyorBeltFragment,Transportband,
