ID,Text,Comment
GerkinDev.WatertightGates.Building.WatertightGate.Flat.DisplayName,Waterdichte poort,
GerkinDev.WatertightGates.Building.WatertightGate.Flat.Description,"Laat mensen erdoor, niet de poep. Behalve als jij dat ook wilt.",
GerkinDev.WatertightGates.Building.WatertightGate.Flat.FlavorDescription,Lekt dit water door?,
GerkinDev.WatertightGates.Building.WatertightGate.Stairs.DisplayName,Waterdicht traphekje,
GerkinDev.WatertightGates.Building.WatertightGate.Stairs.Description,"Laat mensen erdoor, niet de poep. Behalve als jij dat ook wilt. Nu met ?% extra helling!",
GerkinDev.WatertightGates.Building.WatertightGate.Stairs.FlavorDescription,Let op het hek tussen de trap en het water.,
GerkinDev.WatertightGates.UI.WatertightGate.ActivationMode.Automated.Label,Geautomatiseerd,
GerkinDev.WatertightGates.UI.WatertightGate.ActivationMode.Automated.Tooltip,Geautomatiseerd,
GerkinDev.WatertightGates.UI.WatertightGate.Modes.ActiveState,Wanneer actief,
GerkinDev.WatertightGates.UI.WatertightGate.Modes.InactiveState,Wanneer inactief,
GerkinDev.WatertightGates.UI.WatertightGate.Modes.Open.Label,Open,
GerkinDev.WatertightGates.UI.WatertightGate.Modes.Open.Tooltip,Open,
GerkinDev.WatertightGates.UI.WatertightGate.Modes.Close.Label,Dichtbij,
GerkinDev.WatertightGates.UI.WatertightGate.Modes.Close.Tooltip,Dichtbij,
GerkinDev.WatertightGates.UI.WatertightGate.Modes.Pass.Label,Doorgang,
GerkinDev.WatertightGates.UI.WatertightGate.Modes.Pass.Tooltip,Op aanvraag geopend,
