ID,Text,Comment
LV.HTX.ColorGroup,<YellowHighlight>Kleuren</YellowHighlight>,
LV.HTX.PositioningGroup,<YellowHighlight>Positionering</YellowHighlight>,
LV.HTX.Color,Kleur:,
LV.HTX.ColorPick,Kies,
LV.HTX.Transparency,Transparantie:,
LV.HTX.Translation,Verplaatsing: {0},
LV.HTX.Rotation,Rotatie: {0},
LV.HTX.RotationPivot,Draaien: {0},
LV.HTX.Scale,Schaal: {0},
LV.HTX.SetManually,Handmatig instellen,
LV.HTX.SetManuallyDesc,Hier kun je alle waarden invoeren. Je bent verantwoordelijk voor eventuele gevolgen.,
LV.HTX.SetForAll,Ingesteld voor iedereen,
LV.HTX.RecommendedValues,Aanbevolen waardebereik: {0} tot {1},
LV.HTX.Reset,Resetten,
LV.HTX.ResetAll,Alles resetten,
LV.HTX.ResetAllConfirm,Weet je zeker dat je alle waarden wilt terugzetten naar de standaardwaarden?,
LV.MT.BldSet.HueTurnColorComponent,Tint & Draai X - Kleur,
LV.MT.BldSet.HueTurnPositionComponent,Tint en draai X - Positie,
Name_HueTurnFragment,Tint en draai X,
