ID,Text,Comment
Floodgate.Triggers.EnableOnDroughtStarted,Stel de hoogte in wanneer de droogte begint,
Floodgate.Triggers.EnableOnDroughtEnded,Stel de hoogte in wanneer de droogte eindigt,
Floodgate.Schedule.Enable,Stel de hoogte in volgens een schema,
Floodgate.Schedule.DisableOnDrought,Schakel schema uit tijdens droogte,
Floodgate.Schedule.DisableOnTemperate,Schakel schema uit tijdens gematigd weer,
Floodgate.Triggers.Time,Tijd,
Floodgate.Triggers.Height,Hoogte,
Floodgate.Triggers.Basic,Simpel,
Floodgate.Triggers.Timer,Timer,
Floodgate.Triggers.Advanced,Geavanceerd,
Floodgate.Triggers.AttachToStreamGauge,Sluit een watermeter aan,
Floodgate.Triggers.PickStreamGaugeTitle,Kies een watermeter,
Floodgate.Triggers.PickStreamGaugeTip,"Nee echt, kies er een.",
Floodgates.Triggers.NoLinks,Geen watermeters verbonden,
Floodgates.Triggers.NoFloodgateLinks,Geen objecten gekoppeld,
Floodgates.Triggers.LinkedFloodgates,Gekoppelde objecten,
Floodgates.Triggers.Threshold1,Watermeter lage drempel,
Floodgates.Triggers.Threshold2,Watermeter hoge drempel,
Floodgates.Triggers.HeightWhenBelowThreshold1,Hoogte van de sluisdeur onder de lage drempel,
Floodgates.Triggers.HeightWhenAboveThreshold2,Hoogte van de sluisdeur boven de hoge drempel,
Floodgate.Triggers.PauseOnDroughtStart,Pauzeer wanneer de droogte begint,
Floodgate.Triggers.UnpauseOnDroughtStart,Hervat wanneer de droogte begint,
Floodgate.Triggers.UnpauseOnTemperateStart,Hervat wanneer gematigd weer begint,
Floodgate.Triggers.PauseOnTemperateStart,Pauzeer wanneer gematigd weer begint,
Floodgates.WaterpumpTrigger.Threshold1,Pauze <,
Floodgates.WaterpumpTrigger.Threshold2,Pauze >,
Floodgates.WaterpumpTrigger.Threshold3,Hervat <,
Floodgates.WaterpumpTrigger.Threshold4,Hervat >,
Floodgates.WaterpumpTrigger.PauseStartTime,Pauzeer om,
Floodgates.WaterpumpTrigger.ResumeStartTime,Hervat om,
Floodgates.WaterpumpTrigger.DisableDuringDrought,Schakel uit tijdens droogte,
Floodgates.WaterpumpTrigger.DisableDuringTemperate,Schakel uit tijdens gematigd weer,
Floodgate.Triggers.PauseOnSchedule,Pauzeer op een schema,
Floodgate.Triggers.EnableOnBadtideStarted,Stel de hoogte in wanneer de slechtwatervloed begint,
Floodgate.Triggers.EnableOnBadtideEnded,Stel de hoogte in wanneer de slechtwatervloed eindigt,
Floodgate.Schedule.DisableOnBadtide,Schakel het schema tijdens de slechtwatervloed uit,
Floodgates.WaterpumpTrigger.DisableDuringBadtide,Schakel uit tijdens slechtwatervloed,
Floodgate.Triggers.PauseOnBadtideStart,Pauzeer wanneer slechtwatervloed begint,
Floodgate.Triggers.UnpauseOnBadtideStart,Hervat wanneer slechtwatervloed begint,
Floodgates.Triggers.ContaminationThresholdLow,Verontreiniging lage drempel,
Floodgates.Triggers.ContaminationThresholdHigh,Verontreiniging hoge drempel,
Floodgates.Triggers.HeightWhenBelowContaminationThresholdLow,Hoogte onder lage vervuiling instellen,
Floodgates.Triggers.HeightWhenAboveContaminationThresholdHigh,Hoogte boven hoge vervuiling instellen,
Floodgates.Triggers.Depth,Diepte,
Floodgates.Triggers.Contamination,Verontreiniging,
Floodgates.WaterSourceRegulator.Threshold1,Sluit <,
Floodgates.WaterSourceRegulator.Threshold2,Sluit >,
Floodgates.WaterSourceRegulator.Threshold3,Open <,
Floodgates.WaterSourceRegulator.Threshold4,Open >,
Floodgates.WaterSourceRegulator.CloseStartTime,Sluit om,
Floodgates.WaterSourceRegulator.OpenStartTime,Open om,
Floodgates.WaterSourceRegulator.DisableDuringDrought,Schakel uit tijdens droogte,
Floodgates.WaterSourceRegulator.DisableDuringTemperate,Schakel uit tijdens gematigd weer,
Floodgate.WaterSourceRegulator.CloseOnDroughtStart,Sluit wanneer de droogte begint,
Floodgate.WaterSourceRegulator.OpenOnDroughtStart,Open wanneer de droogte begint,
Floodgate.WaterSourceRegulator.OpenOnTemperateStart,Open wanneer gematigd weer begint,
Floodgate.WaterSourceRegulator.CloseOnTemperateStart,Sluit wanneer gematigd weer begint,
Floodgate.WaterSourceRegulator.OpenOnBadtideStart,Open wanneer de slechtwatervloed begint,
Floodgate.WaterSourceRegulator.CloseOnBadtideStart,Sluit wanneer slechtwatervloed begint,
Floodgate.Schedule.CloseOnSchedule,Open/sluit volgens een schema,
Floodgates.WaterSourceRegulator.DisableDuringTemperate,Schakel uit tijdens gematigd weer,
Floodgates.WaterSourceRegulator.DisableDuringBadtide,Schakel uit tijdens slechtwatervloed,
Floodgates.Triggers.Empty,,
