ID,Text,Comment
Knatte.Subgroup_MGShafts.DisplayName,Aandrijfassen,
Knatte.Subgroup_MGPower.DisplayName,Stroomgeneratoren,
Knatte.Subgroup_MGPiles.DisplayName,Stapels,
Knatte.Subgroup_MGWarehouses.DisplayName,Magazijnen,
Knatte.Subgroup_MGTanks.DisplayName,Vaten,
Knatte.Subgroup_MGAqueduct.DisplayName,Aquaducten,
Knatte.Subgroup_MGFloodgates.DisplayName,Sluizen,
Knatte.Subgroup_MGAqueduct_Floors.DisplayName,Aquaductvloeren,
Knatte.Subgroup_MGDynamite.DisplayName,Dynamieten,
Knatte.Subgroup_MGRoofs.DisplayName,Daken,
Knatte.Subgroup_MGLevees.DisplayName,Dijken,
Knatte.Subgroup_MGPipe.DisplayName,Buizen,
//,// Paden,
Knatte.Subgroup_MGMetalPlatform.DisplayName,Metalen platforms,
Knatte.Subgroup_MGMetalOverhang.DisplayName,Metalen overhangen,
Knatte.Subgroup_MGBigMetalPillar.DisplayName,Grote metalen pilaren,
Knatte.Subgroup_MGOverhangs.DisplayName,Overhangen,
Knatte.Subgroup_MGZiplines.DisplayName,Kabelbanen,
Knatte.Subgroup_MGArchs.DisplayName,Bogen,
Knatte.Subgroup_MGTubeways.DisplayName,Buizen,
Knatte.Subgroup_MGBridges.DisplayName,Hangbruggen,
Knatte.Subgroup_MGPillars.DisplayName,Pijlers,
Knatte.Subgroup_MGPlatforms.DisplayName,Platformen,
Knatte.Subgroup_MGStaircase.DisplayName,Trappen,
Knatte.Subgroup_MGSluices.DisplayName,Sluizen,
Knatte.Subgroup_MGFlywheels.DisplayName,Vliegwielen,
