ID,Text,Comment
Knatte.Corner.DisplayName,Decoratieve hoek,-
Knatte.Corner.Description,Laat de dijk een hoek hebben.,-
Knatte.Corner.FlavorDescription,Blokkeert geen water,-
//,//,
Knatte.SQCorner.DisplayName,Decoratieve vierkante hoek,-
Knatte.SQCorner.Description,Laat de dijk een hoek hebben.,-
Knatte.SQCorner.FlavorDescription,Blokkeert geen water,-
//,//,
Knatte.Diagonal.DisplayName,Decoratieve diagonaal,-
Knatte.Diagonal.Description,Laat de dijk naar de zijkant gaan.,-
Knatte.Diagonal.FlavorDescription,Blokkeert geen water,-
//,//,
Knatte.DiagonalS.DisplayName,Decoratief diagonaal zijplatform,-
Knatte.DiagonalS.Description,Laat de dijk naar de zijkant gaan en een platform hebben.,-
Knatte.DiagonalS.FlavorDescription,Blokkeert geen water,-
//,//,
Knatte.DiagonalW.DisplayName,Dijk diagonaal,-
Knatte.DiagonalW.Description,Laat de dijk naar de kant gaan.,-
Knatte.DiagonalW.FlavorDescription,Water zal niet passeren,-
//,//,
Knatte.InvCorner.DisplayName,Decoratie inverse hoek,-
Knatte.InvCorner.Description,Laat de dijk een hoek hebben.,-
Knatte.InvCorner.FlavorDescription,Blokkeert geen water,-
//,//,
Knatte.InvCornerW.DisplayName,Dijk inverse hoek,-
Knatte.InvCornerW.Description,Laat de dijk een hoek hebben.,-
Knatte.InvCornerW.FlavorDescription,Water zal niet passeren,-
//,//,
Knatte.Slope.DisplayName,Decoratieve helling,-
Knatte.Slope.Description,Laat de dijk hellend zijn.,-
Knatte.Slope.FlavorDescription,Blokkeert geen water,-
//,//,
Knatte.CornerSlope.DisplayName,Decoratieve helling hoek,-
Knatte.CornerSlope.Description,Laat de dijk een hoek hebben.,-
Knatte.CornerSlope.FlavorDescription,Blokkeert geen water,-
//,//,
Knatte.Square.DisplayName,Decoratief vierkant,
Knatte.Square.Description,Dijk het vierkant,
Knatte.Square.FlavorDescription,Blokkeert geen water,-
//,//,
Knatte.Square2W.DisplayName,Dijk 2x2,
Knatte.Square3W.DisplayName,Dijk 3x3,
Knatte.SquareW.Description,Laat de dijk groot zijn,
Knatte.SquareW.FlavorDescription,Water zal niet passeren,-
//,//,
Knatte.SquareW1x1.DisplayName,Dijk 1x1,
Knatte.SquareW1x2.DisplayName,Dijk 1x2,
