ID,Text,Comment
Knatte.ToolGroup.DecorationBlocks,Decoratieblokken,
Knatte.DE_RMCorner.DisplayName,Decoratie metalen hoek,-
Knatte.DE_RMCorner.Description,Laat de geribbelde metalen dijk een hoek hebben.,-
Knatte.DE_RMCorner.FlavorDescription,Blokkeert geen water,-
//,//,
Knatte.DE_RMSQCorner.DisplayName,Decoratie metaal vierkant hoek,-
Knatte.DE_RMSQCorner.Description,Laat de geribbelde metalen dijk een hoek hebben.,-
Knatte.DE_RMSQCorner.FlavorDescription,Blokkeert geen water,-
//,//,
Knatte.DE_RMDiagonal.DisplayName,Decoratie metaal diagonaal,-
Knatte.DE_RMDiagonal.Description,Laat de geribbelde metalen dijk naar de zijkant gaan.,-
Knatte.DE_RMDiagonal.FlavorDescription,Blokkeert geen water,-
//,//,
Knatte.DE_RMDiagonalW.DisplayName,Dijk diagonaal,-
Knatte.DE_RMDiagonalW.Description,Laat de geribbelde metalen dijk naar de zijkant gaan.,-
Knatte.DE_RMDiagonalW.FlavorDescription,Water zal niet passeren,-
//,//,
Knatte.DE_RMInvCorner.DisplayName,Decoratie betalen inverse hoek,-
Knatte.DE_RMInvCorner.Description,Laat de geribbelde metalen dijk een hoek hebben.,-
Knatte.DE_RMInvCorner.FlavorDescription,Blokkeert geen water,-
//,//,
Knatte.DE_RMInvCornerW.DisplayName,Dijk inverse hoek,-
Knatte.DE_RMInvCornerW.Description,Laat de geribbelde metalen dijk een hoek hebben.,-
Knatte.DE_RMInvCornerW.FlavorDescription,Water zal niet passeren,-
//,//,
Knatte.DE_RMSlope.DisplayName,Decoratie metalen helling,-
Knatte.DE_RMSlope.Description,Laat de geribbelde metalen dijk hellend zijn.,-
Knatte.DE_RMSlope.FlavorDescription,Blokkeert geen water,-
//,//,
Knatte.DE_RMCornerSlope.DisplayName,Decoratie metaal helling hoek,-
Knatte.DE_RMCornerSlope.Description,Laat de geribbelde metalen dijk een hoek hebben.,-
Knatte.DE_RMCornerSlope.FlavorDescription,Blokkeert geen water,-
//,//,
Knatte.DE_RMSquare.DisplayName,Decoratie metalen blok,
Knatte.DE_RMSquare.Description,Dijk het geribbelde metalen vierkant,
Knatte.DE_RMSquare.FlavorDescription,Blokkeert geen water,-
//,//,
Knatte.DE_RMSquare2W.DisplayName,Metalen dijk 2x2,
Knatte.DE_RMSquare3W.DisplayName,Metalen dijk 3x3,
Knatte.DE_RMSquareW.Description,Dijk laat het groot zijn in geribbeld metaal,
Knatte.DE_RMSquareW.FlavorDescription,Water zal niet passeren,-
//,//,
Knatte.DE_RMSquareW1x1.DisplayName,Metalen dijk 1x1,
Knatte.DE_RMSquareW1x2.DisplayName,Metalen dijk 1x2,
Knatte.DE_RMSquareW1x3.DisplayName,Metalen dijk 1x3,
Knatte.DE_RMSquareW2x1.DisplayName,Metalen dijk 2x1,
Knatte.DE_RMSquareW2x3.DisplayName,Metalen dijk 2x3,
Knatte.DE_RMSquareW3x1.DisplayName,Metalen dijk 3x1,
Knatte.DE_RMSquareW3x2.DisplayName,Metalen dijk 3x2,
//,//,
Knatte.DE_RMCorner2X.DisplayName,"Decoratie metalen hoek 
Dubbele hoogte",-
Knatte.DE_RMCorner2X.Description,Laat de geribbelde metalen dijk een hoek hebben.,-
Knatte.DE_RMCorner2X.FlavorDescription,Blokkeert geen water,-
//,//,
Knatte.DE_RMSQCorner2X.DisplayName,"Decoratie metaal vierkant hoek 
Dubbele hoogte",-
Knatte.DE_RMSQCorner2X.Description,Laat de geribbelde metalen dijk een hoek hebben.,-
Knatte.DE_RMSQCorner2X.FlavorDescription,Blokkeert geen water,-
//,//,
Knatte.DE_RMDiagonal2X.DisplayName,"Decoratie metaal diagonaal 
Dubbele hoogte",-
Knatte.DE_RMDiagonal2X.Description,Laat de geribbelde metalen dijk naar de zijkant gaan.,-
Knatte.DE_RMDiagonal2X.FlavorDescription,Blokkeert geen water,-
//,//,
Knatte.DE_RMInvCornerS2X.DisplayName,Decoratie metaal inverse hoek zijplatform dubbele hoogte,-
Knatte.DE_RMInvCornerS2X.Description,Laat de geribbelde metalen dijk naar de zijkant gaan en een platform hebben.,-
Knatte.DE_RMInvCornerS2X.FlavorDescription,Blokkeert geen water,-
//,//,
Knatte.DE_RMInvCorner2X.DisplayName,"Decoratie metalen inverse hoek 
Dubbele hoogte",-
Knatte.DE_RMInvCorner2X.Description,Laat de geribbelde metalen dijk een hoek hebben.,-
Knatte.DE_RMInvCorner2X.FlavorDescription,Blokkeert geen water,-
//,//,
Knatte.DE_RMInvCornerW2X.DisplayName,"Metalen dijk inverse hoek 
Dubbele hoogte",-
Knatte.DE_RMInvCornerW2X.Description,Laat de geribbelde metalen dijk een hoek hebben.,-
Knatte.DE_RMInvCornerW2X.FlavorDescription,Water zal niet passeren,-
//,//,
Knatte.DE_RMSlope2X.DisplayName,"Decoratie metalen helling 
Dubbele hoogte",-
Knatte.DE_RMSlope2X.Description,Laat de geribbelde metalen dijk hellend zijn.,-
Knatte.DE_RMSlope2X.FlavorDescription,Blokkeert geen water,-
//,//,
Knatte.DE_RMCornerSlope2X.DisplayName,"Decoratie metaal hellinghoek 
Dubbele hoogte",-
Knatte.DE_RMCornerSlope2X.Description,Laat de geribbelde metalen dijk een hoek hebben.,-
Knatte.DE_RMCornerSlope2X.FlavorDescription,Blokkeert geen water,-
//,//,
Knatte.DE_RMCorner3X.DisplayName,"Decoratie metalen hoek 
Driedubbele hoogte",-
Knatte.DE_RMCorner3X.Description,Laat de geribbelde metalen dijk een hoek hebben.,-
Knatte.DE_RMCorner3X.FlavorDescription,Blokkeert geen water,-
//,//,
Knatte.DE_RMInvCorner3X.DisplayName,"Decoratie metalen inverse hoek 
Driedubbele hoogte",-
Knatte.DE_RMInvCorner3X.Description,Laat de geribbelde metalen dijk een hoek hebben.,-
Knatte.DE_RMInvCorner3X.FlavorDescription,Blokkeert geen water,-
//,//,
Knatte.DE_RMSlope3X.DisplayName,Decoratie metaal helling driedubbele hoogte,-
Knatte.DE_RMSlope3X.Description,Laat de geribbelde metalen dijk hellend zijn.,-
Knatte.DE_RMSlope3X.FlavorDescription,Blokkeert geen water,-
//,//,
Knatte.DE_RMInvCornerW3X.DisplayName,Dijk inverse hoek driedubbele hoogte,-
Knatte.DE_RMInvCornerW3X.Description,Laat de geribbelde metalen dijk een hoek hebben.,-
Knatte.DE_RMInvCornerW3X.FlavorDescription,Water zal niet passeren,-
//,//,
Knatte.DE_RMSlopeW_1.DisplayName,Metalen dijkhelling,
Knatte.DE_RMSlopeW_2.DisplayName,"Metalen dijkhelling 
Dubbele hoogte",
Knatte.DE_RMSlopeW_3.DisplayName,"Metalen dijkhelling 
Driedubbele hoogte",
Knatte.DE_RMSlopeW.Description,Geribbelde metalen helling die water volledig blokkeert,
Knatte.DE_RMSlopeW.FlavorDescription,Water zal niet passeren,
//,//,
Knatte.DE_RMSlopeS.DisplayName,Decoratie metalen trap,-
Knatte.DE_RMSlopeS.Description,Laat de geribbelde metalen dijk betreden worden.,-
Knatte.DE_RMSlopeS.FlavorDescription,Blokkeert geen water,-
//,//,
Knatte.DE_RMToolGroup.Decoration,Decoratieblokken,-
//,//,
Knatte.DE_RMCategoryDam.DisplayName,Geribbelde metalen decoratie,-
Knatte.DE_RMCategoryDam.Des,Blokkeert geen water,-
//,//,
Knatte.DE_RMCategoryLevees.DisplayName,Gevormde geribbelde metalen dijken,-
Knatte.DE_RMCategoryLeveesSQ.DisplayName,Vierkant geribbelde metalen dijken,-
//,//,
Knatte.DE_RMCategoryDam2.DisplayName,Geribbelde metalen decoratie,-               Untranlsated
Knatte.DE_RMCategoryDamSQ.DisplayName,Geribbelde metalen decoratie vierkant,
Knatte.DE_RMCategoryDam2.Des,Blokkeert geen water,-                      Untranlsated
//,//,
Knatte.DE_RMDoubleInvSlope.DisplayName,Metalen dubbele omgekeerde helling,                   
Knatte.DE_RMDoubleInvSlope.Description,Combinatie van geribbelde metalen dijk en omgekeerde helling,               
Knatte.DE_RMDoubleInvSlope.FlavorDescription,Laten we een brug bouwen,                   
//,//,
Knatte.DE_RMSquare1x2.DisplayName,Decoratie metalen blok 1x2,                               
Knatte.DE_RMSquare1x3.DisplayName,Decoratie metalen blok 1x3,                               
Knatte.DE_RMSquare_B.Description,Geribbeld metalen vierkant dat kan uitsteken maar het water niet blokkeert.,
Knatte.DE_RMSquare_B.FlavorDescription,"Kijk, het drijft",                                             
//,//,
Knatte.DE_RMInvSlope1x1.DisplayName,Metaal omgekeerde helling 1x1,                              
Knatte.DE_RMInvSlope1x2.DisplayName,Metaal omgekeerde helling 1x2,                              
Knatte.DE_RMInvSlope1x3.DisplayName,Metaal omgekeerde helling 1x3,                              
Knatte.DE_RMInvSlope2x1.DisplayName,Metaal omgekeerde helling 2x1,                              
Knatte.DE_RMInvSlope.Description,Geribbeld metalen vierkant dat kan uitsteken maar het water niet blokkeert.,
Knatte.DE_RMInvSlope.FlavorDescription,We gaan weg,
//,//,
Knatte.DE_RMInvTrapezium1x1.DisplayName,Omgekeerd trapezium 1x1,
//,//,
Knatte.DE_RMBlockDecoration.DisplaynameLocKey,Mooie dam,                           Untranlsated
Knatte.DE_RMInvSlopeW1x1.DisplayName,Omgekeerde metalen dijkhelling 1x1,
Knatte.DE_RMInvSlopeW1x2.DisplayName,Omgekeerde metalen dijkhelling 1x2,
Knatte.DE_RMInvSlopeW1x3.DisplayName,Omgekeerde metalen dijkhelling 1x3,
Knatte.DE_RMInvSlopeW2x1.DisplayName,Omgekeerde metalen dijkhelling 2x1,
Knatte.DE_RMInvSlopeW.Description,"Geribbeld metalen vierkant dat kan uitsteken. 
Plaats zeskantblokken, alle waterblokken, andere blokken alleen van boven/onder, zoals een ingebouwde ondoordringbare vloer",
Knatte.DE_RMInvSlopeW.FlavorDescription,We gaan weg,
//,//,
Knatte.DE_RMInvTrapeziumW1x1.DisplayName,Omgekeerde trapezium metalen dijk 1x1,
Knatte.DE_RMDoubleInvSlopeW.Description,"Geribbeld metalen vierkant dat aan beide kanten uitsteekt. 
Plaats zeskantblokken, alle waterblokken, andere blokken alleen van boven/onder, zoals een ingebouwde ondoordringbare vloer",
Knatte.DE_RMDoubleInvSlopeW.FlavorDescription,Laten we een brug bouwen,
//,/--------Gladde blokken----------------/,
Knatte.DE_SMCorner.DisplayName,Decoratie metalen hoek,-
Knatte.DE_SMCorner.Description,Laat de gladde metalen dijk een hoek hebben.,-
Knatte.DE_SMCorner.FlavorDescription,Blokkeert geen water,-
//,//,
Knatte.DE_SMSQCorner.DisplayName,Decoratie metaal vierkant hoek,-
Knatte.DE_SMSQCorner.Description,Laat de gladde metalen dijk een hoek hebben.,-
Knatte.DE_SMSQCorner.FlavorDescription,Blokkeert geen water,-
//,//,
Knatte.DE_SMDiagonal.DisplayName,Decoratie metaal diagonaal,-
Knatte.DE_SMDiagonal.Description,Laat de gladde metalen dijk naar de zijkant gaan.,-
Knatte.DE_SMDiagonal.FlavorDescription,Blokkeert geen water,-
//,//,
Knatte.DE_SMDiagonalW.DisplayName,Dijk diagonaal,-
Knatte.DE_SMDiagonalW.Description,Laat de gladde metalen dijk naar de zijkant gaan.,-
Knatte.DE_SMDiagonalW.FlavorDescription,Water zal niet passeren,-
//,//,
Knatte.DE_SMInvCorner.DisplayName,Decoratie metalen inverse hoek,-
Knatte.DE_SMInvCorner.Description,Laat de gladde metalen dijk een hoek hebben.,-
Knatte.DE_SMInvCorner.FlavorDescription,Blokkeert geen water,-
//,//,
Knatte.DE_SMInvCornerW.DisplayName,Dijk inverse hoek,-
Knatte.DE_SMInvCornerW.Description,Laat de gladde metalen dijk een hoek hebben.,-
Knatte.DE_SMInvCornerW.FlavorDescription,Water zal niet passeren,-
//,//,
Knatte.DE_SMSlope.DisplayName,Decoratie metalen helling,-
Knatte.DE_SMSlope.Description,Laat de gladde metalen dijk hellend zijn.,-
Knatte.DE_SMSlope.FlavorDescription,Blokkeert geen water,-
//,//,
Knatte.DE_SMCornerSlope.DisplayName,Decoratie metaal hellinghoek,-
Knatte.DE_SMCornerSlope.Description,Laat de gladde metalen dijk een hoek hebben.,-
Knatte.DE_SMCornerSlope.FlavorDescription,Blokkeert geen water,-
//,//,
Knatte.DE_SMSquare.DisplayName,Decoratie metalen blok,
Knatte.DE_SMSquare.Description,Dijk het gladde metalen vierkant,
Knatte.DE_SMSquare.FlavorDescription,Blokkeert geen water,-
//,//,
Knatte.DE_SMSquare2W.DisplayName,Metalen dijk 2x2,
Knatte.DE_SMSquare3W.DisplayName,Metalen dijk 3x3,
Knatte.DE_SMSquareW.Description,Dijk laat het groots zijn in glad metaal,
Knatte.DE_SMSquareW.FlavorDescription,Water zal niet passeren,-
//,//,
Knatte.DE_SMSquareW1x1.DisplayName,Metalen dijk 1x1,
Knatte.DE_SMSquareW1x2.DisplayName,Metalen dijk 1x2,
Knatte.DE_SMSquareW1x3.DisplayName,Metalen dijk 1x3,
Knatte.DE_SMSquareW2x1.DisplayName,Metalen dijk 2x1,
Knatte.DE_SMSquareW2x3.DisplayName,Metalen dijk 2x3,
Knatte.DE_SMSquareW3x1.DisplayName,Metalen dijk 3x1,
Knatte.DE_SMSquareW3x2.DisplayName,Metalen dijk 3x2,
//,//,
Knatte.DE_SMCorner2X.DisplayName,"Decoratie metalen hoek 
Dubbele hoogte",-
Knatte.DE_SMCorner2X.Description,Laat de gladde metalen dijk een hoek hebben.,-
Knatte.DE_SMCorner2X.FlavorDescription,Blokkeert geen water,-
//,//,
