ID,Text,Comment
LogBook.Metric.Total,Totaal bevers,
LogBook.Metric.Adults,Volwassenen,
LogBook.Metric.Kits,Kits,
LogBook.Metric.Bots,Robots,
LogBook.Metric.Homeless,Daklozen,
LogBook.Metric.OccupiedBeds,Bezette bedden,
LogBook.Metric.FreeBeds,Vrije bedden,
LogBook.Metric.UnemployedBeavers,Werkloos,
LogBook.Metric.UnemployedBots,Werkloos,
LogBook.Metric.BeaverJobs,Vacatures vervuld,
LogBook.Metric.BotJobs,Vacatures vervuld,
LogBook.Metric.BeaverVacancies,Vacatures,
LogBook.Metric.BotVacancies,Vacatures,
LogBook.Metric.Contaminated,Vervuild,
LogBook.Metric.Infected,Besmet,
LogBook.Metric.ScienceStored,Kennis,
LogBook.Metric.Wellbeing,Welzijn,
LogBook.Metric.Hunger,Honger,
LogBook.Metric.Thirst,Dorst,
