ID,Text,Comment
Menu.Mods,Aangepaste kaarten en mods,Button opening a menu that allows downloading mods and custom maps. Keep short.
Mods.Download,Download,Button to download a mod. Keep short.
Mods.Info,Info,Button to show more info about a mod. Keep short.
Mods.Loading,Laden...,Info text shown when mods are loading.
Mods.Tags,Tags:,Header above available list of tags. Keep short.
Mods.Author,Auteur:,Label before the author of mod.
Mods.Downloads,Downloads:,Label before count of mod downloads.
Mods.ShowMore,Laat meer zien,Button to show more mods. Keep short.
Mods.Tags.All,Alles,Tag options to show all mods and maps. Keep short.
Mods.Votes,Stemmen:,Label before count of mod likes and dislikes.
Mods.ModsChanged,Wijzigingen worden van kracht na een herstart,Instruction on the dialog for the user to restart the game after changes to mods have been made
Mods.Quit,Afsluiten,Button to quit game
Mods.Restart,Opnieuw opstarten,Button to restart game
Mods.Stay,Blijf,Button to not quit the game immediately
Mods.Enabled,Ingeschakeld,Toggle for if a mod is enabled or not. Keep short.
Mods.Installed,Geïnstalleerd,Toggle for is a mod is installed or not. Keep short.
Mods.Uninstall,Verwijderen,Button to uninstall a mod.
Mods.Options,Opties:,Header above available list of special options. Keep short.
Mods.Dependencies,Vereisten:,Header above available list of Dependencies. Keep short.
Mods.InstalledVersion,Geïnstalleerde versie:,Header above available list of InstalledVersion. Keep short.
Mods.LiveVersion,Live-versie:,Header above of Live version. Keep short.
Mods.Newest,Nieuwste,Button to sort by newest.
Mods.MostDownloaded,Meest gedownload,Button to sort by amount of downloads.
Mods.TopRated,Hoogst gewaardeerd,Button to sort by amount of likes.
Mods.LastUpdated,Laatst bijgewerkt,Button to sort by last update day.
Mods.UpdateAllLabel,Er zijn {0} updates beschikbaar.,Label for informing how many mods have updates pending.
Mods.UpdateAll,Alles bijwerken,Button for updating all updatable mods. Keep short
Mods.Empty,,Empty string
Mods.Update,Update,Button to update mod. Keep short
Mods.Versions,Te installeren versie, Label for versions of a mod that are available in mod.io
Mods.UpdateBehaviour,Controleer op de hoogste in plaats van de live versie,-
Mods.UpdateBehaviourTooltip,"Meestal is de ""live"" versie een versie die op stable werkt. Sommige modders pushen hogere versies die meestal alleen op de experimentele versie werken.",-
Mods.VersionUnknown,Op basis van de mod-bestanden is het momenteel onduidelijk of de mod zal werken op de huidige spelversie.,-
Mods.VersionCompatible,Op basis van de mod-bestanden is een versie gevonden die compatibel is met de huidige spelversie.,-
Mods.VersionIncompatible,Op basis van de mod-bestanden zijn er geen versies gevonden die compatibel zijn met de huidige spelversie. Installeren wordt afgeraden.,-
Mods.CrashInfo,Het lijkt erop dat het spel tijdens het laden is gecrasht. Hieronder kun je selecteren welke mods je wilt uitschakelen om de volgende keer een crash te voorkomen.,-
Mods.EnableAll,Schakel alle mods in,-
Mods.DisableAll,Schakel alle mods uit,-
Mods.GoToCrashReport,Ga naar Crashrapport,-
Mods.Browser,Mod-browser,-
