ID,Text,Comment
LV.MT.ActiveEffects,Actieve effecten,
LV.MT.ActiveEffect,"• <b>{0}</b>
{1}",
LV.MT.ActiveEffectTime,{0:0.00}d resterend,
LV.MT.UnknownSettings,Onbekende instellingen,
LV.MT.UnknownValue,Onbekende waarde: {0},
LV.MT.UnknownSettingsDescription,Onbekende instellingen: {0},
LV.MT.State_Open,Open,
LV.MT.State_Closed,Gesloten,
LV.MT.State_Automated,Geautomatiseerd,
LV.MT.UStat.Name,Naam,
LV.MT.UStat.Avatar,Avatar,
LV.MT.UStat.StockpileIcon,Voorraad pictogram,
LV.MT.UStat.StorageStock,Opslag voorraad,
LV.MT.UStat.StorageStockMax,Opslag max,
LV.MT.UStat.StoragePercent,Opslag %,
LV.MT.UStat.Population,Bevolking,
LV.MT.UStat.Population.All,Alle,
LV.MT.UStat.Population.Adults,Volwassenen,
LV.MT.UStat.Population.Children,Kinderen,
LV.MT.UStat.Population.Beavers,Bevers,
LV.MT.UStat.Population.Bots,Botten,
LV.MT.UStat.ProductionPercent,Productiepercentage,
LV.MT.UStat.RecipeIcon,Receptpictogram,
LV.MT.BldSet.Automatable,Automatiseerbaar,
LV.MT.BldSet.PausableBuilding,Pauzeren,
LV.MT.BldSet.TimedComponentActivator,[DEV] Tijdactivator,
LV.MT.BldSet.BuilderPrioritizable,Bouwprioriteit,
LV.MT.BldSet.DecalSupplier,Sticker,
LV.MT.BldSet.FlippableDecal,Sticker omdraaien,
LV.MT.BldSet.Demolishable,Slopen,
LV.MT.BldSet.Chronometer,Chronometer,
LV.MT.BldSet.ContaminationSensor,Verontreinigingssensor,
LV.MT.BldSet.DepthSensor,Dieptesensor,
LV.MT.BldSet.FlowSensor,Stromingssensor,
LV.MT.BldSet.Gate,Hek,
LV.MT.BldSet.Indicator,Indicator,
LV.MT.BldSet.Lever,Hefboom,
LV.MT.BldSet.Memory,Geheugen,
LV.MT.BldSet.PopulationCounter,Bevolkingsteller,
LV.MT.BldSet.PowerMeter,Vermogensmeter,
LV.MT.BldSet.Relay,Relais,
LV.MT.BldSet.ResourceCounter,Bronnenteller,
LV.MT.BldSet.ScienceCounter,Wetenschapsteller,
LV.MT.BldSet.Speaker,Spreker,
LV.MT.BldSet.Timer,Timer,
LV.MT.BldSet.WeatherStation,Weerstation,
LV.MT.BldSet.FireworkLauncher,Vuurwerkwerper,
LV.MT.BldSet.HttpAdapter,HTTP-adapter,
LV.MT.BldSet.CustomizableIlluminator,Verlichter,
LV.MT.BldSet.Clutch,Koppeling,
LV.MT.BldSet.Valve,Ventiel,
LV.MT.BldSet.UnstableCore,Onstabiele kern,
LV.MT.BldSet.UnstableCore.Desc,Straal: {0},
LV.MT.BldSet.FarmHouse,Landbouw prioriteit,
LV.MT.BldSet.Forester,Herplant dode bomen,
LV.MT.BldSet.GatherablePrioritizer,Prioriteit verzamelen,
LV.MT.BldSet.HaulPrioritizable,Geef prioriteit aan transport,
LV.MT.BldSet.SingleGoodAllower,Opslag goed,
LV.MT.BldSet.FixedStockpileInventorySetter,Reserveer inventaris,
LV.MT.BldSet.PlantablePrioritizer,Prioriteit voor planten,
LV.MT.BldSet.StockpilePriority,Voorraadprioriteit,
LV.MT.BldSet.Floodgate,Sluisdeur,
LV.MT.BldSet.Floodgate.Desc,"{0}m, Synchroniseren: {1}",
LV.MT.BldSet.Sluice,Sluis,
LV.MT.BldSet.WaterInputCoordinates,Dieptelimiet pomp,
LV.MT.BldSet.WaterMover,Pompwatertype,
LV.MT.BldSet.WaterSource,[DEV] Sterkte van de waterbron,
LV.MT.BldSet.WaterSource.Desc,[DEV] Sterkte van de waterbron,
LV.MT.BldSet.WaterSourceRegulator,Badwaterslot,
LV.MT.BldSet.Manufactory,Fabrieksrecept,
LV.MT.BldSet.DistrictDefaultWorkerType,Standaardwerknemerstype district,
LV.MT.BldSet.Workplace,Werknemers op de werkplek,
LV.MT.BldSet.WorkplacePriority,Prioriteit van de werknemer,
LV.MT.BldSet.WorkplaceWorkerType,Type werkplekwerker,
Name_EntityEffectDescriberFragment,Actieve effecten,
