ID,Text,Comment
Cadre.Group.Bombs.Lone,Explosieven,
Cadre.DimBomb.Lone,Donkere Bom,
Cadre.DimBomb.Purpose,Bom die nooit zichtbaar mag zijn voor de speler,
Cadre.DimBomb.RandoQuote,Dynamiet dat tot 3 blokken diep ontploft,
Cadre.LitBomb.Lone,Verlichte bom,
Cadre.LitBomb.Purpose,Bom die nooit zichtbaar mag zijn voor de speler,
Cadre.LitBomb.RandoQuote,Dynamiet dat tot 3 blokken diep ontploft,
Cadre.Quadramite.Lone,Quadramiet,
Cadre.Quadramite.Purpose,Dynamiet dat tot 4 blokken diep ontploft,
Cadre.Quadramite.RandoQuote,"""Vroeger was twee diep genoeg! Nu pronk je alleen maar."" —Oma Ngonel",
Cadre.Quintamite.Lone,Quintamiet,
Cadre.Quintamite.Purpose,Dynamiet dat tot 5 blokken diep ontploft,
Cadre.Quintamite.RandoQuote,"""Weet je überhaupt nog waar je het gelaten hebt?"" —Oma Ngonel",
Cadre.Hexamite.Lone,Hexamiet,
Cadre.Hexamite.Purpose,Dynamiet dat tot 6 blokken diep ontploft,
Cadre.Hexamite.RandoQuote,"""Alleen een dwaas - of een genie - graaft zo diep."" – Oma Ngonel",
Cadre.Septamite.Lone,Septamiet,
Cadre.Septamite.Purpose,Dynamiet dat tot 7 blokken diep ontploft,
Cadre.Septamite.RandoQuote,"""Zeven is geluk, tenzij je te dichtbij staat."" —Ouwe Kazko",
Cadre.Octamite.Lone,Octamiet,
Cadre.Octamite.Purpose,Dynamiet dat tot 8 blokken diep ontploft,
Cadre.Octamite.RandoQuote,"""Weet je zeker dat dit niet overdreven is?"" —Ouwe Kazko",
Cadre.Nonamite.Lone,Nonamiet,
Cadre.Nonamite.Purpose,Dynamiet dat tot 9 blokken diep ontploft,
Cadre.Nonamite.RandoQuote,"""We zullen de bodem nooit meer vinden."" —Ouwe Kazko",
Cadre.Decamite.Lone,Decamiet,
Cadre.Decamite.Purpose,Dynamiet dat tot 10 blokken diep ontploft,
Cadre.Decamite.RandoQuote,"""Veel succes met dat weer opvullen!"" —Pina",
Cadre.Undecamite.Lone,Undecamiet,
Cadre.Undecamite.Purpose,Dynamiet dat tot 11 blokken diep ontploft,
Cadre.Undecamite.RandoQuote,"""Je speelt met vuur... en niet een beetje"" —Ouwe Kazko",
Cadre.Dodecamite.Lone,Dodecamiet,
Cadre.Dodecamite.Purpose,Dynamiet dat tot 12 blokken diep ontploft,
Cadre.Dodecamite.RandoQuote,"""We hebben een grotere schep nodig."" —Pina",
Cadre.Tredecamite.Lone,Tredecamiet,
Cadre.Tredecamite.Purpose,Dynamiet dat tot 13 blokken diep ontploft,
Cadre.Tredecamite.RandoQuote,"""Voor sommigen is het ongeluk, maar niet voor mij!"" —Pina",
Cadre.Quadradecamite.Lone,Quadradecamiet,
Cadre.Quadradecamite.Purpose,Dynamiet dat tot 14 blokken diep ontploft,
Cadre.Quadradecamite.RandoQuote,"""Wie houd de tel ook bij? Gewoon aansteken!"" —Pina",
Cadre.Quintadecamite.Lone,Quintadecamiet,
Cadre.Quintadecamite.Purpose,Dynamiet dat tot 15 blokken diep ontploft,
Cadre.Quintadecamite.RandoQuote,"""Als het je tanden niet doet trillen, doe je het niet goed."" —Ouwe Kazko",
Cadre.Hexadecamite.Lone,Hexadecamiet,
Cadre.Hexadecamite.Purpose,Dynamiet dat tot 16 blokken diep ontploft,
Cadre.Hexadecamite.RandoQuote,"""Dit zullen ze vanuit de hele nederzetting horen!"" —Pina",
Cadre.DemonCore.Lone,Demonenkern,
Cadre.DemonCore.Purpose,"Eenmaal geplaatst, kun je niet meer van gedachten veranderen. Vernietigt ook kaartobjecten",
Cadre.DemonCore.RandoQuote,<b>Zeker</b>de</b>ergste nachtmerrie van de <b>Egel</b> :D,
Cadre.DemonHive.Lone,Demonenkorf,
Cadre.DemonHive.Purpose,"Versnelt de groei van voedsel en verzamelobjecten. Eenmaal geplaatst, kun je niet meer van gedachten veranderen. Vernietigt ook kaartobjecten",
Cadre.DemonHive.RandoQuote,<b>Lost</b>de voedselproblemen van de <b>Egel</b> op in IJzertanden :D,
