ID,Text,Comment
LV.RT.HotkeyGroup,Radiale werkbalk,
LV.RT.ToggleHotkey,Schakel Radiale werkbalk in,
LV.RT.HotkeyUp,Omhoog,
LV.RT.HotkeyDown,Omlaag,
LV.RT.HotkeyLeft,Links,
LV.RT.HotkeyRight,Rechts,
LV.RT.HotkeyUpLeft,Linksboven,
LV.RT.HotkeyUpRight,Rechtsboven,
LV.RT.HotkeyDownLeft,Linksonder,
LV.RT.HotkeyDownRight,Rechtsonder,
LV.RT.HotkeyBack,Terug,
LV.RT.HotkeyQuick1,Snelslot 1,
LV.RT.HotkeyQuick2,Snelslot 2,
LV.RT.HotkeyQuick3,Snelslot 3,
LV.RT.HotkeyQuick4,Snelslot 4,
LV.RT.HotkeyQuick1Pin,Pin Snelslot 1,
LV.RT.HotkeyQuick2Pin,Pin Snelslot 2,
LV.RT.HotkeyQuick3Pin,Pin Snelslot 3,
LV.RT.HotkeyQuick4Pin,Pin Snelslot 4,
LV.RT.CloseButton,{0}: Sluiten,
LV.RT.BackButton,{0}: terug,
LV.RT.Prompt,{0}: Radiale werkbalk,
LV.RT.EightSegment,Radiaalmenu met 8 segmenten,
LV.RT.EightSegmentDesc,Gebruik 8 segmenten in plaats van 4.,
LV.RT.FlattenSubmenus,Maak submenu's plat,
LV.RT.FlattenSubmenusDesc,"Als er voldoende ruimte is, verplaatst de submenu-items naar het bovenliggende menu.",
LV.RT.HideBottomBar,Onderste balk verbergen,
LV.RT.HideBottomBarDesc,Verberg de standaard werkbalk van het spel.,
