ID,Text,Comment
SequencedKeys.KeyBindingGroup,Gesequentieerd toetsen,
SequencedKeys.Activate,Ga naar de gesequentieerde bouwmodus,
SequencedKeys.Select1,Selectietoets 1,
SequencedKeys.Select2,Selectietoets 2,
SequencedKeys.Select3,Selectietoets 3,
SequencedKeys.Select4,Selectietoets 4,
SequencedKeys.Select5,Selectietoets 5,
SequencedKeys.Select6,Selectietoets 6,
SequencedKeys.Select7,Selectietoets 7,
SequencedKeys.Select8,Selectietoets 8,
SequencedKeys.Select9,Selectietoets 9,
SequencedKeys.Select10,Selectietoets 10,
SequencedKeys.Select11,Selectietoets 11,
SequencedKeys.Select12,Selectietoets 12,
SequencedKeys.Select13,Selectietoets 13,
SequencedKeys.Select14,Selectietoets 14,
SequencedKeys.Select15,Selectietoets 15,
SequencedKeys.Select16,Selectietoets 16,
SequencedKeys.Select17,Selectietoets 17,
SequencedKeys.Select18,Selectietoets 18,
SequencedKeys.Select19,Selectietoets 19,
