ID,Text,Comment
IgorZ.Automation.CancelTool.Description,Gebruik deze tool om eventuele automatisering op de gebouwen of bouwplaatsen op te ruimen.,
IgorZ.Automation.CancelTool.Title,Automatisering annuleren,
IgorZ.Automation.EnableRulesTool.Description,Gebruik dit gereedschap om alle regels voor het gebouw in te schakelen,
IgorZ.Automation.EnableRulesTool.Title,Regels voor het gebouw inschakelen,
IgorZ.Automation.CheckAccessBlockCondition.Blocking.Description,<YellowHighlight>blokkeert pad</YellowHighlight>,
IgorZ.Automation.CheckAccessBlockCondition.NotBlocking.Description,<YellowHighlight>blokkeert het pad niet</YellowHighlight>,
IgorZ.Automation.CheckAccessBlockCondition.NotYetReachable,"Bouwers kunnen het nog niet bereiken, maar er wordt een pad aangelegd",
IgorZ.Automation.CheckAccessBlockCondition.UnreachableAlert,Onbereikbare bouwplaats,
IgorZ.Automation.CheckAccessBlockCondition.UnreachableStatus,De bouwers kunnen de weg naar deze site niet vinden. Misschien kan hier niets gebouwd worden,
IgorZ.Automation.DebugPickTool.Description,Toont componenten van het geselecteerde object.,
IgorZ.Automation.DebugPickTool.DescriptionHint1,Houd <i>SHIFT</i> ingedrukt om Toegankelijk af te drukken.,
IgorZ.Automation.DebugPickTool.DescriptionHint2,Houd <i>CTRL</i> ingedrukt om NavMesh-randen af ​​te drukken.,
IgorZ.Automation.DebugPickTool.Title,Debug-tool,
IgorZ.Automation.DisableRulesTool.Title,Schakel regels voor het gebouw uit,
IgorZ.Automation.DisableRulesTool.Description,Gebruik dit gereedschap om alle regels voor het gebouw uit te schakelen,
IgorZ.Automation.ShowStatusAction.AutomationErrorAlert,Automatiseringsfout,
IgorZ.Automation.ShowStatusAction.AutomationErrorDescription,Sommige automatiseringsregels kunnen niet worden uitgevoerd,
IgorZ.Automation.GameAutomationConflict.Warning,"Geavanceerde automatisering bestuurt dit gebouw.
Verwijder eerst de regels of schakel deze uit.",Message shown before assigning game automation to a building controlled by Advanced Automation rules.
IgorZ.Automation.ShowStatusAction.HoldCompletionStatusText,Wachten tot de andere gebouwen klaar zijn,
IgorZ.Automation.ShowStatusAction.HoldConstruction,<YellowHighlight>voltooiing vasthouden</YellowHighlight>,
IgorZ.Automation.ShowStatusAction.ResumeConstruction,<YellowHighlight>hervat het bouwen</YellowHighlight>,
IgorZ.Automation.Tool.tmpl.2LevelsDynamite.DisplayName,Ontplof dynamiet 2 keer,
IgorZ.Automation.Tool.tmpl.3LevelsDynamite.DisplayName,Ontplof dynamiet 3 keer,
IgorZ.Automation.Tool.tmpl.4LevelsDynamite.DisplayName,Ontplof dynamiet 4 keer,
IgorZ.Automation.Tool.tmpl.5LevelsDynamite.DisplayName,Ontplof dynamiet 5 keer,
IgorZ.Automation.Tool.tmpl.6LevelsDynamite.DisplayName,Ontplof dynamiet 6 keer,
IgorZ.Automation.Tool.tmpl.RunIf1PlusCollectables.DisplayName,Actief als er verzamelobjecten zijn,
IgorZ.Automation.Tool.tmpl.RunIf2PlusCollectables.DisplayName,Actief als er 2 of meer verzamelvoorwerpen zijn,
IgorZ.Automation.Tool.tmpl.RunIf3PlusCollectables.DisplayName,Actief als er 3 of meer verzamelvoorwerpen zijn,
IgorZ.Automation.Tool.tmpl.RunIf4PlusCollectables.DisplayName,Actief als er 4 of meer verzamelvoorwerpen zijn,
