ID,Text,Comment
IgorZ.SmartPower.BatteryCapacity,Batterijlading: {0} / {1},
IgorZ.SmartPower.BatteryCapacityPct,Batterijlading: {0} ({1}%),
IgorZ.SmartPower.BatteryCharging,Batterijen laden op: <GreenHighlight>🡅</GreenHighlight>{0} ({1}),
IgorZ.SmartPower.BatteryDischarging,Batterijen ontladen: <RedHighlight>🡇</RedHighlight>{0} ({1}),
IgorZ.SmartPower.BatteryNotUsed,<GreenHighlight>Batterijen niet gebruikt</GreenHighlight>,
IgorZ.SmartPower.BatteryDepleted,<RedHighlight>Batterijen leeg</RedHighlight>,
IgorZ.SmartPower.PowerOutputBalancer.AutomateGenerator,Automatiseer deze generator,
IgorZ.SmartPower.PowerOutputBalancer.ChargeBatteriesRangeText,Houd de batterijlading binnen het bereik van {0}% - {1}%,
IgorZ.SmartPower.PowerOutputBalancer.ApplyToAllGenerators,Geldig voor alle generatoren,
IgorZ.SmartPower.PowerOutputBalancer.AppliedToGenerators,Toegepast op {0} generatoren,
IgorZ.SmartPower.PowerOutputBalancer.SuspendedModeStatus,Opgeschort vanwege overmatig aanbod,
IgorZ.SmartPower.MechanicalBuilding.NoWorkersStatus,<YellowHighlight>⏻</YellowHighlight> Geen werknemers op de werkplek,
IgorZ.SmartPower.MechanicalBuilding.NoFuelStatus,<YellowHighlight>⏻</YellowHighlight> De brandstof is op,
IgorZ.SmartPower.MechanicalBuilding.NoInputStatus,<YellowHighlight>⏻</YellowHighlight> Ontbrekende ingrediënten,
IgorZ.SmartPower.MechanicalBuilding.BlockedOutputStatus,<YellowHighlight>⏻</YellowHighlight> Te veel producten,
IgorZ.SmartPower.MechanicalBuilding.PowerSavingModeStatus,Energiebesparende modus,
IgorZ.SmartPower.PowerInputLimiter.SuspendIfNoPower,Onderbreken als er niet genoeg stroom is,
IgorZ.SmartPower.PowerInputLimiter.SuspendIfLowEfficiency,Minimale efficiëntie: {0}%,
IgorZ.SmartPower.PowerInputLimiter.MinBatteriesRatio,Stop als de batterijlading lager is dan {0}%,
IgorZ.SmartPower.PowerInputLimiter.ApplyToAllBuildings,Gelden voor al deze gebouwen,
IgorZ.SmartPower.PowerInputLimiter.AppliedToBuildings,Toegepast op {0} gebouwen,
IgorZ.SmartPower.PowerInputLimiter.PowerShutdownModeStatus,Opgeschort om energie te besparen,
IgorZ.SmartPower.PowerInputLimiter.NotEnoughPowerStatus,<RedHighlight>⏻</RedHighlight> Onvoldoende stroom,
IgorZ.SmartPower.PowerInputLimiter.LowBatteriesChargeStatus,<RedHighlight>⏻</RedHighlight> Batterijen zijn niet voldoende opgeladen,
IgorZ.SmartPower.Common.MinutesTillResume,<GreenHighlight>⏻</GreenHighlight> Wordt over {0} minuten hervat,
IgorZ.SmartPower.Common.MinutesTillSuspend,<YellowHighlight>⏻</YellowHighlight> Wordt over {0} minuten opgeschort,
IgorZ.SmartPower.Settings.DebugSection,Foutopsporing en probleemoplossing,
IgorZ.SmartPower.Settings.Debug.VerboseLogging,Uitgebreid loggen,
IgorZ.SmartPower.Settings.Debug.VerboseLoggingTooltip,"Logboeken bevatten meer nuttige details, maar dit kan de spelprestaties beïnvloeden.",
IgorZ.SmartPower.Settings.BatteriesSection,Batterijen,
IgorZ.SmartPower.Settings.Batteries.ShowBatteryVitals,Toon batterijstatistieken,
IgorZ.SmartPower.Settings.Batteries.BatteryCapacityAsPct,Toon batterijlading in procenten,
IgorZ.SmartPower.Settings.Batteries.BatteryRatioHysteresis,Activeringshysterese van verbruikers (uren),
IgorZ.SmartPower.Settings.Batteries.BatteryRatioHysteresisTooltip,Geschorste consumenten worden niet hervat als ze gedurende ten minste de aangegeven duur niet op batterijen kunnen werken.,
IgorZ.SmartPower.Settings.WalkerPoweredGeneratorSection,Bever-aangedreven generatoren,
IgorZ.SmartPower.Settings.GoodConsumingGeneratorSection,Goed verbruikende generatoren,
IgorZ.SmartPower.Settings.WorkplaceConsumerSection,Werkplaatsen met een werkplek,
IgorZ.SmartPower.Settings.UnmannedConsumerSection,Onbemande gebouwen,
IgorZ.SmartPower.Settings.AttractionConsumerSection,Attracties,
IgorZ.SmartPower.Settings.UI.ShowFloatingIcon,Zwevend pictogram weergeven,
IgorZ.SmartPower.Settings.Hysteresis.ResumeDelay,Hervatvertraging (minuten),
IgorZ.SmartPower.Settings.Hysteresis.SuspendDelay,Pauzeervertraging (minuten),
