ID,Text,Comment
OldGopher.Building.PipeBox.DisplayName,Doos met buis,
OldGopher.Building.PipeStraight.DisplayName,Buis recht,
OldGopher.Building.PipeTurn.DisplayName,Buis hoek,
OldGopher.Building.PipeTIntersection.DisplayName,Buis T-kruising,
OldGopher.Building.PipeXIntersection.DisplayName,Buis X-kruising,
OldGopher.Building.PipeUpward.DisplayName,Opwaartse Buis,
OldGopher.Building.PipeVertical.DisplayName,Verticale Buis,
OldGopher.Building.PipeDownward.DisplayName,Neerwaartse Buis,
OldGopher.Building.PipeBox.Description,Een Buis in een waterdicht blok.,
OldGopher.Building.PipeValve.DisplayName,Buisklep,
OldGopher.Building.PipeValve.Description,Laat het water weglopen als het niet onder water is.,
OldGopher.Building.PipeWaterPump.DisplayName,Doos met waterpomp,
OldGopher.Building.PipeWaterPump.Description,Transporteert water met energie tot een maximale diepte van 6.,
OldGopher.Building.PipeWaterPump.TakeToPipe,Breng water naar de buizen.,
OldGopher.Building.PipeWaterPump.TakeFromPipe,Haal water uit de buizen.,
OldGopher.Building.PipeGeneric.Description,Transporteert water.,
OldGopher.Building.PipeGeneric.Blocked.Short,buis geblokkeerd,
OldGopher.Building.PipeGeneric.Blocked,Een buisingingang is geblokkeerd door een ander gebouw of terrein. Alleen aansluiten op een andere buis.,
OldGopher.Building.WaterShield.DisplayName,Waterschild,
OldGopher.Building.WaterShield.Description,Krachtige machine die water afstoot wanneer hij aan staat. Zorg ervoor dat je niet onder water raakt door gebrek aan energie,
