ID,Text,Comment
Tobbert.TrackStraight.DisplayName,Recht stuk Spoor,-
Tobbert.TrackStraight.Description,Een stuk spoor dat rechtdoor gaat. Kan worden gewijzigd in een eenrichtingssignaal met behulp van de schakelaar wanneer je erop klikt. Creëert een baanvak tussen één spoor waar één trein op kan rijden (aangegeven door de kleuren).,-
Tobbert.TrackStraight.FlavorDescription,Choo! Choo!,-
Tobbert.TrackOneWay.DisplayName,Eenrichtings Spoor,-
Tobbert.TrackOneWay.Description,Zal treinen vertellen dat ze alleen door de groene kant kunnen. Kan terug naar een recht spoor worden gewijzigd door de schakelaar te gebruiken wanneer je erop klikt. Creëert een baanvak tussen één spoor waar één trein op kan rijden (aangegeven door de kleuren).,-
Tobbert.TrackOneWay.FlavorDescription,Jij... Zult... Passeren...,-
Tobbert.TrackCrossing.DisplayName,Spoorovergang,-
Tobbert.TrackCrossing.Description,Bevers kunnen hier de sporen oversteken. Botsingen worden niet geïmplementeerd omdat de prestaties er te veel onder lijden.,-
Tobbert.TrackCrossing.FlavorDescription,Die trein nadert heel sne...,RIP
Tobbert.TrackHillStart.DisplayName,Hellend Spoor,-
Tobbert.TrackHillStart.Description,Een spoor waar treinen omhoog en omlaag kunnen rijden.,-
Tobbert.TrackHillStart.FlavorDescription,Is de trein niet te zwaar?,-
Tobbert.TrackCorner1x1.DisplayName,Spoor Bocht 1x1,-
Tobbert.TrackCorner1x1.Description,Een stuk spoor dat om de bocht gaat.,-
Tobbert.TrackCorner1x1.FlavorDescription,Het is misschien een beetje krap.,-
Tobbert.TrackCorner2x2.DisplayName,Spoor Bocht 2x2,-
Tobbert.TrackCorner2x2.Description,Een stuk spoor dat om een ​​grotere bocht gaat.,-
Tobbert.TrackCorner2x2.FlavorDescription,Wat een mooie ronding.,-
Tobbert.TrackTIntersection1x1.DisplayName,Spoor T-kruising 1x1,-
Tobbert.TrackTIntersection1x1.Description,Een T-kruising voor treinen.,-
Tobbert.TrackTIntersection1x1.FlavorDescription,Welke kant moet ik op?,-
Tobbert.TrackTIntersection2x3.DisplayName,Spoor T-kruising 2x3,-
Tobbert.TrackTIntersection2x3.Description,Een T-kruising voor treinen.,-
Tobbert.TrackTIntersection2x3.FlavorDescription,Waar zullen die paden naartoe leiden?,-
Tobbert.TrackXIntersection1x1.DisplayName,Spoor X-kruising 1x1,-
Tobbert.TrackXIntersection1x1.Description,Een X-kruising voor treinen.,-
Tobbert.TrackXIntersection1x1.FlavorDescription,Zoveel opties!,-
Tobbert.TrackXIntersection3x3.DisplayName,Spoor X-kruising 3x3,-
Tobbert.TrackXIntersection3x3.Description,Een X-kruising voor treinen.,-
Tobbert.TrackXIntersection3x3.FlavorDescription,Ik kan gewoon niet kiezen waar ik heen wil...,-
Tobbert.TrackRIntersection2x3.DisplayName,Spoor Wissel 2x3,-
Tobbert.TrackRIntersection2x3.Description,Een wissel in de vorm van een R voor treinen.,-
Tobbert.TrackRIntersection2x3.FlavorDescription,Waar gaan we heen?,A joke of the letter R
Tobbert.GoodsStation.DisplayName,Goederenstation,-
Tobbert.GoodsStation.Description,Maakt goederenvervoer per trein mogelijk. Een goed kan op een station worden verzonden of ontvangen. Ontvangen goederen worden alleen verplaatst naar opslagplaatsen die klaar zijn om te ontvangen.,-
Tobbert.GoodsStation.FlavorDescription,Kijk eens naar alle goederen die erin passen.,-
Tobbert.PassengerStation.DisplayName,Passagiersstation,-
Tobbert.PassengerStation.Description,Met dit station kunnen bevers op de trein stappen en naar een ander station reizen dat met elkaar verbonden is.,-
Tobbert.PassengerStation.FlavorDescription,Bever trein!,-
Tobbert.PassengerStation.DistrictObjectToggle,Gaat door districten:,-
Tobbert.PassengerStation.DistrictObject,"Als deze optie is ingeschakeld, kunnen bevers ALLEEN naar passagiersstations gaan waar deze instelling ook is ingeschakeld en die zich in andere districten bevinden.",-
Tobbert.PassengerStation.EmptyStation,Er wachten momenteel geen passagiers.,-
Tobbert.WaitingStation.DisplayName,Wachtstation,-
