ID,Text,Comment
eMka.Minimap.Settings.BlockObjectColor,Voorwerp,
eMka.Minimap.Settings.BuildingColor,Gebouw,
eMka.Minimap.Settings.ChunkSize,Brokgrootte,
eMka.Minimap.Settings.ChunkSizeTooltip,"De grootte van de delen waarin de minimap is verdeeld voor weergave.
Lagere waarden zorgen ervoor dat de minimap langzamer wordt weergegeven, maar kunnen helpen bij prestatieproblemen.",
eMka.Minimap.Settings.Colors,Kleuren,
eMka.Minimap.Settings.DeadPlantColor,Dode plant,
eMka.Minimap.Settings.DeadTreeColor,Dode boom,
eMka.Minimap.Settings.DeepBadwaterColor,Diep slechtwater,
eMka.Minimap.Settings.DeepWaterColor,Diep water,
eMka.Minimap.Settings.DisableSize,Toon geen minimap voor kaarten met zijden kleiner dan,
eMka.Minimap.Settings.GeneralSettings,Algemeen,
eMka.Minimap.Settings.HighestGrassColor,Hoogste gras,
eMka.Minimap.Settings.HighestTerrainColor,Hoogste terrein,
eMka.Minimap.Settings.LowestGrassColor,Laagste gras,
eMka.Minimap.Settings.LowestTerrainColor,Laagste terrein,
eMka.Minimap.Settings.MinimapRotation,Minimap draaien,
eMka.Minimap.Settings.MinimapRotationHeader,Minimap-rotatie,
eMka.Minimap.Settings.PathColor,Pad,
eMka.Minimap.Settings.PlantColor,Plant,
eMka.Minimap.Settings.ShallowBadwaterColor,Ondiep slechtwater,
eMka.Minimap.Settings.ShallowWaterColor,Ondiep water,
eMka.Minimap.Settings.TreeColor,Boom,
eMka.Minimap.Settings.WaterPlantColor,Waterplant,
