ID,Text,Comment
Riverborne.DispatchItem.Paused,Gepauzeerd,
Riverborne.EditDispatchPanel.DefaultDispatchName,Totaal gewicht: {0} kg / {1} kg,
Riverborne.EditDispatchPanel.Interval,"Interval: {0}",
Riverborne.EditDispatchPanel.TotalWeight,Totaal gewicht: {0} kg / {1} kg,
Riverborne.EditDispatchPanel.Weight,{0}kg×,
Riverborne.Raft.DeletePrompt,Weet je zeker dat je dit vlot wilt verwijderen?,
Riverborne.Raft.Description,Transporteert goederen met behulp van waterstromen.,
Riverborne.Raft.DisplayName,Vlot,
Riverborne.Raft.FlavorDescription,Ga met de stroom mee.,
Riverborne.RaftDock.Description,Een logistiek dok dat inkomende en uitgaande vlotten afhandelt.,
Riverborne.RaftDock.Dispatches,Verzendingen:,
Riverborne.RaftDock.DisplayName,Vlotdok,
Riverborne.RaftDock.FlavorDescription,Het water bepaalt het schema.,
Riverborne.RaftDock.RemoveDispatchConfirmation,Weet je zeker dat je deze verzending wilt verwijderen?,
Riverborne.RaftGuide.Description,Helpt vlotten langs de waterstroom te leiden.,
Riverborne.RaftGuide.DisplayName,Vlot gids,
Riverborne.RaftGuide.FlavorDescription,Deze kant op.,
Riverborne.DiagonalRaftGuide.DisplayName,Diagonale vlotgids,
Riverborne.DiagonalRaftGuide.FlavorDescription,Niet deze kant op.,
Riverborne.RaftRamp.Description,Lanceert vlotten over obstakels.,
Riverborne.RaftRamp.DisplayName,Vlot oprit,
Riverborne.RaftRamp.FlavorDescription,Soms moet je er gewoon overheen.,
