ID,Text,Comment
Grauschweif.RappellingRopes.DisplayName,Abseil touwen,Menu group title for rappelling ropes
Grauschweif.CrappyRope.DisplayName,Waardeloos touw,
Grauschweif.CrappyRope.Description,Verlengt bereik 2 naar beneden.,
Grauschweif.CrappyRope.FlavorDescription,Een touw aan een stok.,
Grauschweif.DoubleCrappyRope.DisplayName,Waardeloos dubbelzijdig touw,
Grauschweif.DoubleCrappyRope.Description,Strekt zich uit naar beide zijden van een bergkam.,
Grauschweif.DoubleCrappyRope.FlavorDescription,De uitvinder schept hier nog steeds over op...,
Grauschweif.FastenedRope.DisplayName,Vastgemaakt touw,
Grauschweif.FastenedRope.Description,Verlengt bereik 3 naar beneden. Werkt ook op gebouwen.,
Grauschweif.FastenedRope.FlavorDescription,Kleverig touw 2.0,
Grauschweif.RopeLadder.DisplayName,Touwladder,
Grauschweif.RopeLadder.Description,Veelzijdig alternatief voor trappen. Kan 2 meter naar beneden reiken.,
Grauschweif.RopeLadder.FlavorDescription,Zouden bevers ooit schepen moeten bouwen?,
