ID,Text,Comment
menu.rotatingsun,Draaiende zon instelingen,
rotatingsun.optionsheader,Draaiende zon instelingen,
rotatingsun.enablesun,Schakel Zonrotatie in,
rotatingsun.enablerotatingsunflowers,Schakel Zonnebloemrotatie in,
rotatingsun.SunAngleTemperateHeader,Zonhoek tijdens gematigd weer,
rotatingsun.SunAngleDroughtHeader,Zonhoek tijdens droogte,
rotatingsun.SunAngleLowTemperate,Gematigd weer zonhoek laag,
rotatingsun.SunAngleHighTemperate,Gematigd weer zonhoek hoog,
rotatingsun.SunAngleLowDrought,Droogte zonhoek laag,
rotatingsun.SunAngleHighDrought,Droogte zonhoek hoog,
rotatingsun.MoonAngle,Hoek van de maan,
rotatingsun.SunAngleLowBadtide,Slechtwatervloed zonhoek laag,
rotatingsun.SunAngleHighBadtide,Slechtwatervloed zonhoek Hoog,
