ID,Text,Comment
AnalyticsConsent.Agree,"Ja, ik ga akkoord",
AnalyticsConsent.Disagree,"Nee, ik ga niet akkoord",
AnalyticsConsent.Header,Spelgegevens,Header of the panel that allows the player to consent to sending user data to the developers.
AnalyticsConsent.Info,"Help ons het spel beter te maken door gegevens te delen over hoe je Timberborn speelt.

Als je akkoord gaat, verzamelen we automatisch gameplay-gerelateerde informatie tijdens je speelsessies.

Je kunt altijd naar de instellingen gaan om je toestemming in te trekken en je gegevens te verwijderen. Zie ons <link><u>privacybeleid</u></link> voor meer informatie.

Bedankt!",
Attractions.LoadRate,Populariteit,Header above a panel showing how popular an attraction is in each hour during the day
Attractions.Visitors,Bezoekers,"A header above a list of beavers visiting an attraction, such as a campfire."
Attractions.VisitorsLimit,Bezoekers: {0},{0} stands for capacity. Tells players the max capacity of the attraction in a shorter way
Automation.Api.OpenBrowser,Open browser,A button which opens the web browser.
Automation.Api.Port,Poort,Port as in the port number of a web server.
Automation.Api.StartApi,API starten,A button which starts the game's API. You may likely want to keep the term API in other languages.
Automation.Api.StopApi,API stoppen,A button which stop the game's API. You may likely want to keep the term API in other languages.
Automation.Api.UnsafeWebhooksWarning,"Als je de API start, worden webhooks ingeschakeld die externe diensten aanroepen:",This is an important safety warning so please make sure it is understandable. The message is followed by a list of web addresses.
Automation.Api.UnsafeWebhooksWarning.IUnderstandTheRisk,Ik begrijp het risico,
Automation.Automate,Automatiseren,This is for a button which adds automation to a building. Must be consistent with Automation.Automation.
Automation.Automation,Automatisering,This is a collective name for the automation system and a set of buildings in the game which allow players to automate many processes.
Automation.AutomationNone,Geen,Dropdown value when no automation is selected
Automation.AutomationOptional,Optioneel,Dropdown value when no automation is selected but it is optional
Automation.NoAutomation,Geen automatisering,Dropdown value when no automation is selected
Automation.Input.A,A,"This should be one character, optionally two if you really need it. Those are labels preceding dropdowns for selecting input A and input B."
Automation.Input.B,B,"This should be one character, optionally two if you really need it. Those are labels preceding dropdowns for selecting input A and input B."
Automation.Input.Reset,RST,"Abbreviation for Reset, it should correspond to Automation.ResetButton. Three characters are OK for narrow letters but CJK and other languages with wider characters should be at most two - please let us know if it's a problem. It's likely that 'RST' is the best option in all languages because it is a very common abbreviation in electronics and schematics."
Automation.Measurement,Meting: {0},Label for the measurement value in the automation panel. {0} is a measured value.
Automation.Mode,Modus,Keep short. This is a label for a dropdown in which select a mode of operation for different automation buildings.
Automation.Mode.Automated,Automatisch,"A mode in a dropdown or a radio button which denotes that this building will be automated as opposed to manually controlled. Gender should be consistent with Automation.Mode. Please keep short, at most the width of 10 latin characters."
Automation.PausedByAutomation,Gepauzeerd door automatisering.,Dropdown value when no automation is selected
Automation.Pinned,Vastgezet,Checkbox label - when something is pinned it is always visible in the HUD.
Automation.PinnedAlways,Altijd vastgezet,Must be consistent with Automation.Pinned.
Automation.PinnedWhenOn,Vastgezet wanneer ingeschakeld,Must be consistent with Automation.Pinned. This mode means that something is pinned to the HUD only when in the ON state.
Automation.ResetButton,Reset,A text for a button which resets the logic memory of the selected element to zero. It's likely that 'Reset' is a good option in many languages.
Automation.ResetCircuitButton,Circuit resetten,A text for a button which resets the logic memory of all elements in this circuit to zero.
Automation.ResetsWhenResetInput,Wordt gereset wanneer <YellowHighlight>{0}</YellowHighlight>.,A text appended to some of the other mode descriptions such as Timer.Mode.* or Memory.Mode.*. {0} is Automation.Input.ResetInput. This text is meant to explain that the RST input resets this element.
Automation.SelectTransmitter,Selecteer zender,A description of a tool which allows player to select a building which sends an automation signal (a transmitter).
Automation.State.Error,Fout,A state label when a signal has an error. Keep very short because the other states are 'On' and 'Off'.
Automation.State.Off,Uit,A state label when a signal is switched off which is shown next to lightbulb icon.
Automation.State.On,Aan,A state label when a signal is switched on which is shown next to lightbulb icon.
Automation.State.Processing,Verwerken...,A state label when a signal is switched on which is shown next to lightbulb icon. This state indicates that the element is in the middle of processing new data.
Automation.Threshold,Drempel: {0},Label for the threshold value in the automation panel. {0} is a value being a threshold.
Automation.Usages,Gebruiken: {0},As in the number of usages - how many objects use this one.
Autosave.Failure,Automatisch opslaan mislukt,Notification on top of the window when autosave failed. It disappears after 10 seconds
Autosave.FailureDueToFullDisk,Automatisch opslaan mislukt vanwege onvoldoende schijfruimte,Notification on top of the window when autosave failed. It disappears after 10 seconds
Autosave.Success,Automatisch opgeslagen,"Notification on top of the window when autosave succeeded. Keep short, it disappears after 2 seconds"
BatchControl.Distribution,Distributie,Title of the distribution panel
BatchControl.Housing,Huisvesting,Tooltip of a tab allowing to manage housing buildings.
BatchControl.Mechanical,Energie,Tooltip of a tab allowing to manage mechanical buildings. Power must be the same as used in Mechanical.PowerInput and other Mechanical. keys.
BatchControl.Migration,Migratie,Title of migration panel
BatchControl.NoDistrict,Geen wijk geselecteerd.,Shown when no district is selected on some batch control tabs
BatchControl.Population,Bevolking,Tooltip of a tab allowing to manage population.
BatchControl.ShowInfo,Nederzetting beheren,Button opening a window to view and manage multiple buildings and characters at once . Please keep short
BatchControl.Storage,Opslag,Tooltip of a tab allowing to manage warehouses.
BatchControl.Workplaces,Werkplekken,Tooltip of a tab allowing to manage workplaces.
Beaver.Adult.TemplateName,Bever volwassen,
Beaver.Adulthood,Volwassenheid,Next to a progress bar that shows when a baby beaver reaches adulthood.
Beaver.Age,Leeftijd: {0},"{0} stands for number of days, for example 'Age: 5'."
Beaver.Child.TemplateName,Bever kind,
Beaver.DeadNameSuffix,(dood),Preceded by beaver name and age
Beaver.DiedOldAge,{0} stierf van ouderdom.,{0} stands for beaver name
Beaver.Employment,Werk,Header of a section that tells of how many and where beavers are working
Beaver.GrewUp,{0} is opgegroeid.,{0} stands for beaver name. A notification that a beaver achieved maturity.
Beaver.Homeless,Dakloos,Signifies that the beaver has no home
Beaver.HomelessPlural,Daklozen,Label before number of homeless beavers
Beaver.House,Leeft in: {0},{0} stands for Building.DisplayName. Tells which type of building the beaver resides in.
Beaver.Launched,{0} is gelanceerd.,{0} stands for beaver name. A notification that a beaver has been launched in a plane.
Beaver.PluralDisplayName,Bevers,
Beaver.Population.Adults,Volwassenen,Label before number of adult beavers
Beaver.Population.Children,Kinderen,Label before number of kit beavers
Beaver.Population.Contaminated,Verontreinigd,Header of the list of beavers contaminated by badwater. Should be similar or same as Need.BadwaterContamination.DisplayName
Beaver.Population.ContaminatedAdults,Verontreinigde volwassenen,"Label before number of adult beavers contaminated by badwater. ""Contaminated"" should be similar or same as Need.BadwaterContamination.DisplayName. Ideally all uses of the word contaminate/contamination/contaminated should be uniform across the project."
Beaver.Population.ContaminatedChildren,Verontreinigde kinderen,"Label before number of children beavers contaminated by badwater. ""Contaminated"" should be similar or same as Need.BadwaterContamination.DisplayName. Ideally all uses of the word contaminate/contamination/contaminated should be uniform across the project."
Beaver.Unemployed,Werkloos,"Signifies that the beaver has no job, singular"
Beaver.UnemployedPlural,Werklozen,"Used in population statistics, followed by the number of unemployed beavers"
Beaver.Workplace,Werkt bij: {0},{0} stands for Building.DisplayName. Tells which type of building the beaver works in.
Bonus.CarryingCapacity,Draagvermogen,How much stuff a unit can carry
Bonus.CuttingSuccessChance,Kapkans,Cutting chance when cutting down a tree
Bonus.GrowthSpeed,Groeisnelheid,Speed at which young beavers grow up
Bonus.LifeExpectancy,Levensverwachting,The presumed length of beavers' life.
Bonus.MovementSpeed,Bewegingssnelheid,"Describes how fast character can move (bonus to walking, running and swimming)."
Bonus.WorkingSpeed,Werksnelheid,Speed at which the beavers work.
Bot.BeaversPerished,"Laat me niet eens beginnen over de bevers.
Ze hadden het allemaal. Frisse lucht, schoon water.
Nu zijn ze slechts een vage herinnering.","Text for a game over state, when all beavers have perished."
Bot.Created,{0} is gemaakt!,{0} stands for bot name. Notification that shows when production of a new bot finishes.
Bot.DeadNameSuffix,(vernietigd),Preceded by bot name and age
Bot.DeathMessage,{0} is kapot gegaan.,{0} stands for bot name. Notification that shows when a bot breaks down completely (it's destroyed)
Bot.DisplayName.Folktails,Houtbot {0},{0} stands for a bot serial number. Name of bots from the Folktails faction. Named after the fact they are visibly made from wood.
Bot.DisplayName.IronTeeth,IJzerbot {0},{0} stands for a bot serial number. Name of bots from the Iron Teeth faction. Named after the fact they are visibly made from metal.
Bot.Durability,Duurzaamheid,Label before a progress bar showing amount of durability left
Bot.PluralDisplayName,Robots,"Bots are autonomous robots, who assist beavers in their everyday tasks. They are constructed in factories."
Bot.TemplateName,Robot,A bot is an animated anthropomorphic being which is created from inanimate matter. Timberborn bots are depicting beavers and are made of wood and metal.
Breeding.NutrientBringing,"Voedingsstoffen worden na het werk aangevoerd door transporteurs, werklozen en werknemers.","Haulers are the same as in Building.HaulingPost.Description, unemployed as in Beaver.UnemployedPlural, workers as in Work.WorkersLabel"
Breeding.NutrientsNeeded,Benodigde voedingsstoffen:,Followed by a list of nutrients needed to produce a new beaver in breeding facility
Breeding.Progress,Broedvoortgang,Label inside a progress bar describing production progress of new beaver in breeding facility
BuilderPriorityTool.Description,"Gebruik dit gereedschap om de prioriteit in te stellen voor bouwen, slopen en het verzamelen van goederen uit puin.",Rubble should be plural version of RecoveredGoodStack.DisplayName
BuilderPriorityTool.Tip,Klik op een item om de prioriteit ervan in te stellen of houd de knop ingedrukt om een ​​groter gebied te selecteren.,
Building.AdvancedBreedingPod.Description,Maakt gebruik van een geavanceerd broedproces om volwassen bevers te produceren die graag aan de slag willen.,Breeding should be the same as Building.BreedingPod.DisplayName
Building.AdvancedBreedingPod.DisplayName,Geavanceerde broedpod,
Building.AdvancedBreedingPod.FlavorDescription,Het idee ontstond toen een kit in een ketel vol extract viel en een gigantische groeispurt kreeg nadat hij alles had opgedronken.,"Extract must be the same as Good.Extract.DisplayName, kit is a young beaver."
Building.Agora.Description,Een grote verzamelplaats waar bevers houtgerelateerde onderwerpen kunnen bespreken.,
Building.Agora.DisplayName,Tempel,
Building.Agora.FlavorDescription,"Wanneer de groene bakens branden, is dit een teken voor Volkstaarten om zich te verzamelen.",Folktails must be same as faction as Faction.Folktails.DisplayName.
Building.AncientAquiferDrill.DisplayName,Oude Aquiferboor,
Building.AncientAquiferDrill.FlavorDescription,De laatste wanhopige poging van de mensjen om te herstellen wat verloren was.,
Building.AquaticFarmhouse.Description,Heeft gespecialiseerde boeren in dienst om <YellowHighlight>Aquatische</YellowHighlight> gewassen te planten en te oogsten.,"Aquatic is a keyword, must be the same as in NaturalResources.Aquatic."
Building.AquaticFarmhouse.DisplayName,Aquatische boerderij,A farmhouse that specializes in water plants.
Building.AquaticFarmhouse.FlavorDescription,"""Er was eens het gerucht dat we vis eten. Walgelijk!"" —Oma Ngonel","Beavers eating fish is a common misconception. Beavers are 100% herbivores. Ma' Ngonel is an almost legendary figure - a beaver grandma, known for her stern hand, cooking skills and respect among both kits and adult beavers. Her name is an inside joke, as our community constantly demands an addition of catapults, mangonels etc."
Building.Aquifer.Description,Een ondergrondse waterbron.,
Building.Aquifer.DisplayName,Aquifer,
Building.Aquifer.FlavorDescription,Het is niet moeilijk te vinden als het zo luid is.,
Building.AquiferDrill.Description,Haalt water uit een aquifer.,
Building.AquiferDrill.DisplayName,Aquifer Boor,
Building.AquiferDrill.FlavorDescription,In tegenstelling tot bevers is hij gebouwd om water te laten stromen.,
Building.BadtideDrain.Description,Spuit slechtwater uit tijdens een Slechtwater vloed.,
Building.BadtideDrain.DisplayName,Slechtwater Afvoer,
Building.BadtideDrain.FlavorDescription,"""Is dat waar mensjen pijpen voor gebruikten? Bah."" —Pina.,""Pina is a younger beaver figure that's exploring the world and isn't related to any faction in particular. Pina as a name relates to the pine tree, the translated name shouldn't suggest a gender if possible.",
Building.BadwaterDischarge.Description,"Sluit een Slechtwater bron af. Kan geopend of gesloten worden. Als het open is, stroomt er zelfs tijdens droogte slechtwater.","Badwater Source must be the same as Building.BadwaterSource.DisplayName, Badwater must be the same as Good.Badwater.DisplayName."
